instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,36590350.000000,36590350.000000,36590350.000000,42976300.000000,44265887.499940,44269807.528174,0.787823,1.040688,11.753749,28.082068,10040,105938,3600.000000,4,31,71,GUROBI,1,0,0,0
1,New,4,36434936.030388,36437407.494484,36434937.013305,42853888.422785,44157758.140376,44162127.624756,0.305249,0.607090,64.708224,68.625343,18672,321416,3600.000000,4,11,72,GUROBI,1,0,0,0
2,New,4,36498655.758674,36498659.632718,36498655.758674,42912701.197978,44183766.299209,44188171.521984,0.576396,0.928670,175.075214,181.096820,59798,1095505,3600.000000,4,15,63,GUROBI,1,0,0,0
3,New,4,36453729.472695,36460438.978192,36455643.665745,42856769.763046,44154708.134014,44159072.368466,0.203189,0.512230,53.154694,65.420969,19915,340795,3600.000000,4,5,71,GUROBI,1,0,0,0
4,New,4,36373387.039905,36373388.025182,36373387.539905,42830048.005826,44065671.711717,44069912.035416,0.154772,0.662572,85.270541,85.858031,15088,283675,3600.000000,4,1,76,GUROBI,1,0,0,0
5,New,4,36442833.936066,36447401.950147,36442834.472921,42876095.572723,44114112.977734,44118457.471237,0.166305,0.452135,118.331036,121.567335,39148,731548,3600.000000,4,3,61,GUROBI,1,0,0,0
6,New,4,36340132.630933,36340142.400981,36340132.637424,42782765.864331,44013961.547488,44018140.419639,0.405524,0.668571,36.741272,39.203661,8334,140689,3600.000000,4,22,57,GUROBI,1,0,0,0
7,New,4,36315310.685783,36315312.253549,36315310.685783,42788472.119018,44023161.607107,44027334.830299,0.522862,0.823134,76.332451,88.547949,22055,376059,3600.000000,4,21,69,GUROBI,1,0,0,0
8,New,4,36478363.642324,36480836.144948,36480836.144948,42895967.251590,44171647.027430,44175196.060577,0.231261,0.540091,28.941382,30.492788,9444,151571,3600.000000,4,4,69,GUROBI,1,0,0,0
9,New,4,36400908.100603,36409651.621787,36401210.700642,42826189.863697,44093624.215515,44097731.316867,0.252299,0.498104,72.064568,77.873006,19491,346041,3600.000000,4,8,65,GUROBI,1,0,0,0
10,New,4,36057371.912794,36064783.183853,36057373.526793,42538708.543002,43843370.157788,43846665.162923,0.168614,0.563951,31.077019,50.535089,14826,263810,3600.000000,4,4,70,GUROBI,1,0,0,0
