instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,5711620.957128,5712340.215077,5712340.215077,5740500.665457,5761158.871617,5761665.213975,2.499714,4.237851,10.884715,13.500581,5121,20741,3600.000000,16,7,44,GUROBI,1
1,New,16,5296195.592955,5311894.166881,5309915.785087,5367404.266704,5384968.940620,5385506.509716,1.455462,3.466912,24.623778,24.624023,6440,37250,3600.000000,16,2,44,GUROBI,1
2,New,16,4187931.447412,4215110.342013,4207655.505477,4392005.198349,4402008.649023,4402387.651132,2.118364,3.559754,4.686344,5.015081,644,4922,3600.000000,17,3,44,GUROBI,1
3,New,16,5508426.563353,5521890.382628,5510261.027976,5572066.155530,5581538.089037,5582091.663340,2.558122,3.826663,12.077190,12.077433,3695,19608,3600.000000,18,9,43,GUROBI,1
4,New,16,4788387.215072,4790010.656964,4789503.504848,4867313.247129,4888437.050415,4888919.445026,7.973260,9.756086,33.734578,46.745085,11754,126428,3600.000000,18,38,45,GUROBI,1
5,New,16,4951440.756585,4956513.703988,4955887.669185,5087622.617841,5106303.999569,5106802.956045,8.600208,9.704827,13.043943,13.245358,976,6566,3600.000000,19,45,45,GUROBI,1
6,New,16,4771716.287367,4785322.210798,4784879.557883,4842800.257021,4857288.138867,4857699.892349,2.568367,4.284100,9.461986,9.685960,715,7837,3600.000000,17,9,42,GUROBI,1
7,New,16,5221550.775328,5227471.744331,5225020.688946,5305542.095713,5317578.384940,5318090.976279,5.420910,6.879918,10.428619,10.535261,1747,11561,3600.000000,19,21,50,GUROBI,1
8,New,16,4901399.063281,4910257.581787,4906428.001616,5009766.428439,5032072.801971,5032570.167160,1.883675,3.009055,21.010233,21.526631,9171,70201,3600.000000,16,2,40,GUROBI,1
9,New,16,5107798.619775,5122647.856275,5118002.337953,5198041.601248,5208252.564353,5208770.534267,2.002748,3.425489,17.311787,17.450908,9560,48264,3600.000000,18,3,46,GUROBI,1
10,New,16,5426137.592535,5437494.921286,5428707.669020,5510915.837056,5528913.213449,5529402.187563,1.559759,2.870511,13.687200,14.105278,3025,25328,3600.000000,16,3,48,GUROBI,1
