instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,0.000681,0.000681,0.000681,0.140494,0.149988,0.150003,0.000002,0.526500,0.713088,1.892661,1268,15356,3600.000000,0,0,0,GUROBI,1
1,None,16,-0.000819,-0.000819,-0.000819,0.141780,0.149988,0.150003,0.000003,0.787564,3.456060,3.807846,1229,18642,3600.000000,0,0,0,GUROBI,1
2,None,16,-0.000811,-0.000811,-0.000811,0.134802,0.148186,0.148198,0.000003,0.525716,5.602591,5.602728,2027,33711,3600.000000,0,0,0,GUROBI,1
3,None,16,-0.000822,-0.000822,-0.000822,0.119337,0.148486,0.148499,0.000003,1.014361,13.716219,13.716354,2885,40479,3600.000000,0,0,0,GUROBI,1
4,None,16,-0.000820,-0.000820,-0.000820,0.116891,0.150423,0.150437,0.000003,0.821782,5.577141,5.577285,1435,25024,3600.000000,0,0,0,GUROBI,1
5,None,16,0.000685,0.000685,0.000685,0.127920,0.149990,0.150003,0.000002,1.052715,6.855308,6.855443,1869,29926,3600.000000,0,0,0,GUROBI,1
6,None,16,-0.000820,-0.000820,-0.000820,0.132343,0.148515,0.148524,0.000002,0.550854,5.578352,5.578486,2396,30971,3600.000000,0,0,0,GUROBI,1
7,None,16,-0.000823,-0.000823,-0.000823,0.114493,0.148486,0.148499,0.000003,0.754218,5.722261,5.722395,2335,31190,3600.000000,0,0,0,GUROBI,1
8,None,16,-0.000814,-0.000814,-0.000814,0.124034,0.150444,0.150453,0.000003,0.961556,5.845247,5.845382,2090,37517,3600.000000,0,0,0,GUROBI,1
9,None,16,0.000678,0.000678,0.000678,0.140311,0.149915,0.149928,0.000003,0.661143,2.007516,2.858950,1764,23507,3600.000000,0,0,0,GUROBI,1
10,None,16,-0.000823,-0.000823,-0.000823,0.137039,0.148471,0.148484,0.000003,0.632334,4.039215,4.039346,3169,36974,3600.000000,0,0,0,GUROBI,1
