instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,16,99.322299,101.361458,100.376397,107.744605,119.994475,120.000000,2.199244,2.761768,3.088894,3.615413,640,16195,3600.000000,16,2,17,GUROBI,1,0,0,0
1,Farkas,16,99.260439,101.304880,100.307196,107.679291,120.000000,120.000000,0.141984,0.717220,1.097376,1.653709,658,17561,3600.000000,16,2,0,GUROBI,1,0,0,0
2,Farkas,16,99.274716,101.305261,100.325656,107.693758,120.000000,120.000000,0.142234,0.702721,1.083195,1.602177,671,17126,3600.000000,16,2,0,GUROBI,1,0,0,0
3,Farkas,16,99.197299,101.251567,100.260617,107.619605,119.875000,119.875000,0.182300,0.789816,1.117297,1.649286,642,16395,3600.000000,16,2,0,GUROBI,1,0,0,0
4,Farkas,16,99.358406,101.381272,100.415970,107.731160,120.125000,120.125000,0.206291,0.815409,1.187216,1.710045,617,16869,3600.000000,16,2,0,GUROBI,1,0,0,0
5,Farkas,16,99.306657,101.352280,100.366076,107.759267,120.000000,120.000000,0.161531,0.749760,1.088419,1.620410,628,16151,3600.000000,16,2,0,GUROBI,1,0,0,0
6,Farkas,16,99.290934,101.317484,100.339176,107.782199,120.000000,120.000000,0.148176,0.721917,1.140478,1.670351,678,17718,3600.000000,16,2,0,GUROBI,1,0,0,0
7,Farkas,16,99.431657,101.477280,100.491076,107.926407,120.000000,120.000000,0.161089,0.756644,1.146396,1.650418,618,16842,3600.000000,16,2,0,GUROBI,1,0,0,0
8,Farkas,16,99.273166,101.311446,100.312308,107.744605,120.000000,120.000000,0.151035,0.774065,1.100535,1.632314,642,16395,3600.000000,16,2,0,GUROBI,1,0,0,0
9,Farkas,16,99.197299,101.236458,100.252950,107.622789,120.000000,120.000000,0.154951,0.709329,1.046934,1.554184,621,16123,3600.000000,16,2,0,GUROBI,1,0,0,0
10,Farkas,16,99.327346,101.385991,100.376887,107.723415,120.000000,120.000000,0.152530,0.782912,1.145977,1.702778,635,16985,3600.000000,16,2,0,GUROBI,1,0,0,0
