instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,16,8026.000000,8026.000000,8026.000000,8124.000000,8124.000000,8124.000000,0.000003,2.584907,0.000003,2.649415,1,4845,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,16,8324.244511,8324.244511,8324.244511,8439.395172,8441.000000,8440.999993,0.000003,6.886473,13.443139,13.461223,169,7832,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,16,7674.011233,7674.011233,7674.011233,7783.838203,7788.000000,7788.000000,0.000003,3.046682,0.000003,3.225253,1,4630,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,16,7774.469187,7774.469187,7774.469187,7886.998800,7888.000000,7888.000000,0.000003,3.055685,0.000003,3.115291,1,4917,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,16,7692.371013,7692.371013,7692.371013,7802.578273,7806.000000,7806.000000,0.000003,3.788137,4.409226,4.437176,47,6681,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,16,8316.807169,8316.807169,8316.807169,8432.262212,8434.000000,8433.999998,0.000003,3.420938,0.000003,3.515586,5,5961,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,16,7674.224655,7674.224655,7674.224655,7784.615512,7787.000000,7787.000000,0.000003,3.398484,6.459079,6.563827,267,12544,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,16,8381.957155,8381.957155,8381.957155,8491.496173,8493.000000,8493.000000,0.000002,2.603814,0.000002,2.653535,1,4921,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,16,8102.682385,8102.682385,8102.682385,8214.561222,8216.000000,8216.000000,0.000003,4.043369,0.000003,4.254785,1,5647,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,16,8012.846501,8012.846501,8012.846501,8120.303996,8122.000000,8122.000000,0.000004,2.034526,0.000004,2.087916,1,5271,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,16,8651.715245,8651.715245,8651.715245,8759.589969,8761.000000,8761.000000,0.000003,4.644876,5.287271,5.314255,18,6860,3600.000000,0,0,0,GUROBI,1,0,0,0
