instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,-78.073128,-78.073128,-78.073128,-72.984117,-62.000000,-62.000000,0.000002,9.029675,1193.463458,1193.467729,299389,4634054,3600.000000,0,0,0,GUROBI,1
1,None,64,-78.073128,-78.073128,-78.073128,-72.984117,-62.000000,-62.000000,0.000003,9.007134,1270.594886,1270.694246,395869,6010692,3600.000000,0,0,0,GUROBI,1
2,None,64,-78.073128,-78.073128,-78.073128,-72.984117,-62.000000,-62.000000,0.000002,8.975449,865.389320,998.658862,311259,4770803,3600.000000,0,0,0,GUROBI,1
3,None,64,-78.055471,-78.055471,-78.055471,-72.978506,-62.000000,-62.000000,0.000003,8.174949,1176.614037,1176.664782,343502,5677413,3600.000000,0,0,0,GUROBI,1
4,None,64,-78.053020,-78.053020,-78.053020,-73.002857,-61.937500,-61.937500,0.000003,8.161100,1433.840548,1433.965237,470460,6857645,3600.000000,0,0,0,GUROBI,1
5,None,64,-78.073128,-78.073128,-78.073128,-73.413357,-62.000000,-62.000000,0.000003,7.135708,1159.841345,1159.894220,344920,5479853,3600.000000,0,0,0,GUROBI,1
6,None,64,-78.073128,-78.073128,-78.073128,-73.123272,-62.000000,-62.000000,0.000003,7.335399,1113.316893,1113.379974,325670,4946166,3600.000000,0,0,0,GUROBI,1
7,None,64,-78.073128,-78.073128,-78.073128,-73.302663,-62.000000,-62.000000,0.000002,7.840118,1350.458167,1350.573932,441085,6468877,3600.000000,0,0,0,GUROBI,1
8,None,64,-78.060325,-78.060325,-78.060325,-73.915967,-61.937500,-61.937500,0.000004,4.542162,1272.659855,1272.724855,370408,5682311,3600.000000,0,0,0,GUROBI,1
9,None,64,-78.053638,-78.053638,-78.053638,-73.623952,-62.000000,-62.000000,0.000004,5.858889,1203.488515,1203.532530,323705,5311628,3600.000000,0,0,0,GUROBI,1
10,None,64,-78.010628,-78.010628,-78.010628,-72.925378,-62.000000,-62.000000,0.000003,7.118466,1216.011554,1216.078429,357108,4886478,3600.000000,0,0,0,GUROBI,1
