instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,-17360.166667,-17360.166667,-17360.166667,-17062.285714,-17041.000000,-17041.000000,0.000002,0.433723,0.439606,0.441660,1,1757,3600.000000,0,0,0,GUROBI,1
1,None,16,-17353.000000,-17353.000000,-17353.000000,-17052.772727,-17033.000000,-17033.000000,0.000003,0.476941,0.484260,0.486108,1,1665,3600.000000,0,0,0,GUROBI,1
2,None,16,-17356.500000,-17356.500000,-17356.500000,-17057.952381,-17036.000000,-17036.000000,0.000002,0.488088,0.493972,0.495783,1,2000,3600.000000,0,0,0,GUROBI,1
3,None,16,-17364.500000,-17364.500000,-17364.500000,-17051.100000,-17045.000000,-17045.000000,0.000003,0.511305,0.516924,0.517152,1,1823,3600.000000,0,0,0,GUROBI,1
4,None,16,-17348.333333,-17348.333333,-17348.333333,-17044.222222,-17032.000000,-17032.000000,0.000003,0.549748,0.555583,0.557420,1,1974,3600.000000,0,0,0,GUROBI,1
5,None,16,-17358.666667,-17358.666667,-17358.666667,-17038.000000,-17037.000000,-17037.000000,0.000003,0.476094,0.478454,0.480467,1,1853,3600.000000,0,0,0,GUROBI,1
6,None,16,-17360.666667,-17360.666667,-17360.666667,-17051.600000,-17044.000000,-17044.000000,0.000003,0.449998,0.453807,0.455747,1,1871,3600.000000,0,0,0,GUROBI,1
7,None,16,-17356.666667,-17356.666667,-17356.666667,-17046.000000,-17040.000000,-17040.000000,0.000002,0.452459,0.458069,0.459962,1,1831,3600.000000,0,0,0,GUROBI,1
8,None,16,-17355.166667,-17355.166667,-17355.166667,-17039.165414,-17039.000000,-17039.000000,0.000003,0.594483,0.598723,0.598954,1,2077,3600.000000,0,0,0,GUROBI,1
9,None,16,-17359.500000,-17359.500000,-17359.500000,-17041.428571,-17041.000000,-17041.000000,0.000003,0.597799,0.601174,0.602936,1,2117,3600.000000,0,0,0,GUROBI,1
10,None,16,-17353.000000,-17353.000000,-17353.000000,-17045.331683,-17038.000000,-17038.000000,0.000003,0.527803,0.531226,0.533102,1,1830,3600.000000,0,0,0,GUROBI,1
