instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,256,19294.125000,19294.125000,19294.125000,19294.125000,19294.125000,19294.250000,0.000003,0.612003,300.380003,300.396003,28586,54679,300.000000,0,0,0,CBC,1
1,None,256,19286.125000,19286.125000,19286.125000,19286.125000,19286.125000,19286.250000,0.000003,0.572003,300.408003,300.424003,25365,108355,300.000000,0,0,0,CBC,1
2,None,256,19272.125000,19272.125000,19272.125000,19272.125000,19272.125000,19272.250000,0.000002,0.100002,300.136002,300.148002,28573,63380,300.000000,0,0,0,CBC,1
3,None,256,19254.383000,19254.383000,19254.383000,19254.383000,19254.383000,19254.508000,0.000003,0.100003,300.256003,300.268003,30881,42266,300.000000,0,0,0,CBC,1
4,None,256,19270.881000,19270.881000,19270.881000,19270.881000,19270.881000,19271.006000,0.000003,0.440003,300.228003,300.244003,30984,42639,300.000000,0,0,0,CBC,1
5,None,256,19287.125000,19287.125000,19287.125000,19287.125000,19287.125000,19287.250000,0.000003,0.440003,300.380003,300.396003,27822,60168,300.000000,0,0,0,CBC,1
6,None,256,19214.005373,19214.005373,19214.005373,19214.125000,19214.125000,19214.250000,0.000003,0.112003,300.056003,300.068003,26834,84006,300.000000,0,0,0,CBC,1
7,None,256,19280.125000,19280.125000,19280.125000,19280.125000,19280.125000,19280.250000,0.000003,0.152003,300.248003,300.260003,28413,56197,300.000000,0,0,0,CBC,1
8,None,256,19257.293173,19257.293173,19257.293173,19257.637000,19257.637000,19257.762000,0.000003,0.612003,300.056003,300.068003,17129,81634,300.000000,0,0,0,CBC,1
9,None,256,19256.125000,19256.125000,19256.125000,19256.125000,19256.125000,19256.250000,0.000003,0.192003,300.264003,300.276003,28995,50557,300.000000,0,0,0,CBC,1
10,None,256,19216.737570,19216.737570,19216.737570,19217.760039,19217.881000,19218.508000,0.000003,0.948003,300.228003,300.248003,15312,71320,300.000000,0,0,0,CBC,1
