instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,947.957237,954.735632,954.735632,1035.081309,1120.000000,1120.000000,1.282645,1.402645,17.798645,17.802645,4286,14469,300.000000,4,30,80,CBC,1
1,New,4,947.431579,947.957237,947.957237,1048.058033,1121.000000,1121.000000,1.226050,1.410050,20.398050,20.402050,4604,15136,300.000000,4,35,70,CBC,1
2,New,4,947.957237,948.469130,948.469130,1042.378938,1120.000000,1120.000000,0.458441,0.558441,7.818441,7.818441,3024,11105,300.000000,4,14,90,CBC,1
3,New,4,947.957237,951.922565,951.879347,1034.469260,1120.000000,1120.000000,0.465358,0.573358,9.141358,9.145358,3508,11900,300.000000,4,14,80,CBC,1
4,New,4,951.429842,955.244646,955.244646,1045.147793,1120.000000,1120.000000,0.740618,0.864618,12.580618,12.580618,3972,13393,300.000000,4,24,80,CBC,1
5,New,4,944.492260,944.659109,944.659109,1043.133200,1121.000000,1121.000000,0.665517,0.817517,18.129517,18.129517,6822,24746,300.000000,4,22,60,CBC,1
6,New,4,946.957237,953.735632,953.735632,1038.661401,1118.000000,1118.000000,1.042097,1.198097,12.190097,12.194097,3049,10533,300.000000,4,30,80,CBC,1
7,New,4,946.699545,947.546053,947.546053,1039.293071,1119.000000,1119.000000,0.667646,0.739646,12.943646,12.943646,4356,14893,300.000000,4,23,90,CBC,1
8,New,4,948.031579,948.568421,948.568421,1038.899515,1122.000000,1122.000000,0.442929,0.522929,6.766929,6.766929,2639,9694,300.000000,4,14,60,CBC,1
9,New,4,952.235746,952.761404,952.761404,1047.220639,1121.000000,1121.000000,1.150822,1.270822,29.874822,29.874822,7292,23289,300.000000,4,33,70,CBC,1
10,New,4,948.316118,948.460855,948.460855,1047.788675,1122.000000,1122.000000,0.729826,0.813826,13.229826,13.229826,4667,16329,300.000000,4,24,70,CBC,1
