instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,-61651.227098,-61651.227098,-61651.227098,-55036.720727,-54583.218645,100000000000000007629769841091887003294964970946560.000000,0.000003,0.096003,0.000003,300.028003,45370,226611,300.000000,0,0,0,CBC,1
1,None,64,-61650.480590,-61650.480590,-61650.480590,-53927.356527,-53541.548695,100000000000000007629769841091887003294964970946560.000000,0.000003,0.124003,0.000003,300.024003,29086,268690,300.000000,0,0,0,CBC,1
2,None,64,-61647.249192,-61647.249192,-61647.249192,-54258.567019,-53904.352929,100000000000000007629769841091887003294964970946560.000000,0.000002,0.120002,0.000002,300.028002,37044,200892,300.000000,0,0,0,CBC,1
3,None,64,-61737.817600,-61737.817600,-61737.817600,-56874.372563,-56240.639268,100000000000000007629769841091887003294964970946560.000000,0.000002,0.060002,0.000002,300.032002,51995,286659,300.000000,0,0,0,CBC,1
4,None,64,-64618.217647,-64618.217647,-64618.217647,-61042.779788,-60526.626178,100000000000000007629769841091887003294964970946560.000000,0.000002,0.068002,0.000002,300.036002,58862,181108,300.000000,0,0,0,CBC,1
5,None,64,-61649.715997,-61649.715997,-61649.715997,-57010.620248,-56428.598490,100000000000000007629769841091887003294964970946560.000000,0.000002,0.048002,0.000002,300.036002,58297,224563,300.000000,0,0,0,CBC,1
6,None,64,-64467.132219,-64467.132219,-64467.132219,-60618.484349,-60007.239203,100000000000000007629769841091887003294964970946560.000000,0.000002,0.068002,0.000002,300.040002,59350,222528,300.000000,0,0,0,CBC,1
7,None,64,-61803.488345,-61803.488345,-61803.488345,-56684.975745,-56042.587450,100000000000000007629769841091887003294964970946560.000000,0.000003,0.064003,0.000003,300.044003,55489,206570,300.000000,0,0,0,CBC,1
8,None,64,-62895.995743,-62895.995743,-62895.995743,-59188.083613,-58609.576884,100000000000000007629769841091887003294964970946560.000000,0.000002,0.040002,0.000002,300.036002,52952,207963,300.000000,0,0,0,CBC,1
9,None,64,-61647.862965,-61647.862965,-61647.862965,-54385.609206,-53948.306446,100000000000000007629769841091887003294964970946560.000000,0.000003,0.124003,0.000003,300.032003,36786,233655,300.000000,0,0,0,CBC,1
10,None,64,-61655.399902,-61655.399902,-61655.399902,-57004.396594,-56440.848945,100000000000000007629769841091887003294964970946560.000000,0.000002,0.048002,0.000002,300.032002,61251,186158,300.000000,0,0,0,CBC,1
