instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,-61651.227098,-61298.095431,-61298.095431,-55036.720727,-54588.818651,100000000000000007629769841091887003294964970946560.000000,1.748623,1.844623,1.748623,300.040623,40107,242877,300.000000,4,2,750,CBC,1
1,Farkas,4,-61050.805220,-60698.049665,-60701.321558,-54409.411551,-54005.275144,100000000000000007629769841091887003294964970946560.000000,0.068639,0.164639,0.068639,300.040639,39125,231475,300.000000,4,2,0,CBC,1
2,Farkas,4,-61520.498111,-61166.931444,-61168.516153,-54889.814641,-54481.075997,100000000000000007629769841091887003294964970946560.000000,0.078964,0.174964,0.078964,300.042964,41130,244270,300.000000,4,2,0,CBC,1
3,Farkas,4,-61728.248507,-61375.581285,-61375.581285,-55176.444852,-54644.868616,100000000000000007629769841091887003294964970946560.000000,0.068961,0.168961,0.068961,300.040961,45485,197416,300.000000,4,2,0,CBC,1
4,Farkas,4,-61826.655587,-61474.655587,-61474.655587,-55402.660932,-54926.917887,100000000000000007629769841091887003294964970946560.000000,0.077508,0.173508,0.077508,300.037508,42546,212574,300.000000,4,2,0,CBC,1
5,Farkas,4,-61665.829481,-61312.262814,-61313.055169,-55052.375263,-54622.967329,100000000000000007629769841091887003294964970946560.000000,0.068897,0.168897,0.068897,300.040897,40143,255802,300.000000,4,2,0,CBC,1
6,Farkas,4,-61521.215205,-61167.910205,-61169.021880,-54895.779949,-54387.733042,100000000000000007629769841091887003294964970946560.000000,0.079080,0.175080,0.079080,300.047080,45315,211315,300.000000,4,2,0,CBC,1
7,Farkas,4,-61791.215521,-61438.548299,-61438.548299,-55310.068417,-54844.545972,100000000000000007629769841091887003294964970946560.000000,0.079438,0.175438,0.079438,300.039438,42721,218981,300.000000,4,2,0,CBC,1
8,Farkas,4,-61666.297204,-61313.194982,-61313.565540,-55065.447895,-54622.513727,100000000000000007629769841091887003294964970946560.000000,0.079575,0.175575,0.079575,300.043575,43206,181084,300.000000,4,2,0,CBC,1
9,Farkas,4,-61666.651073,-61313.257740,-61314.101332,-55063.929716,-54621.939222,100000000000000007629769841091887003294964970946560.000000,0.071267,0.179267,0.071267,300.039267,39834,243469,300.000000,4,2,0,CBC,1
10,Farkas,4,-61730.941111,-61377.750556,-61378.594148,-55193.184812,-54759.125287,100000000000000007629769841091887003294964970946560.000000,0.079964,0.175964,0.079964,300.047964,44106,192131,300.000000,4,2,0,CBC,1
