instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,35591.500000,35591.500000,35591.500000,35591.500000,35954.000000,35954.000000,0.000003,0.124003,2.124003,2.124003,308,565,300.000000,0,0,0,CBC,1
1,None,64,35580.500000,35580.500000,35580.500000,35580.500000,35943.000000,35943.000000,0.000003,0.124003,59.692003,59.696003,6254,10205,300.000000,0,0,0,CBC,1
2,None,64,35580.000000,35580.000000,35580.000000,35580.000000,35944.000000,35944.000000,0.000003,0.124003,38.892003,38.896003,6858,10572,300.000000,0,0,0,CBC,1
3,None,64,35558.000000,35558.000000,35558.000000,35919.000000,35919.000000,35919.000000,0.000003,0.144003,0.172003,0.176003,0,3,300.000000,0,0,0,CBC,1
4,None,64,35574.500000,35574.500000,35574.500000,35937.000000,35937.000000,35937.000000,0.000002,0.144002,0.176002,0.180002,0,3,300.000000,0,0,0,CBC,1
5,None,64,35563.500000,35563.500000,35563.500000,35927.000000,35927.000000,35927.000000,0.000003,0.144003,0.172003,0.176003,0,3,300.000000,0,0,0,CBC,1
6,None,64,35577.500000,35577.500000,35577.500000,35939.000000,35939.000000,35939.000000,0.000003,0.136003,0.164003,0.168003,0,4,300.000000,0,0,0,CBC,1
7,None,64,35572.000000,35572.000000,35572.000000,35572.000000,35933.000000,35933.000000,0.000002,0.120002,15.768002,15.772002,3168,4628,300.000000,0,0,0,CBC,1
8,None,64,35545.000000,35545.000000,35545.000000,35909.000000,35909.000000,35909.000000,0.000003,0.132003,0.164003,0.164003,0,3,300.000000,0,0,0,CBC,1
9,None,64,35566.000000,35566.000000,35566.000000,35566.000000,35931.000000,35931.000000,0.000003,0.124003,18.076003,18.076003,2338,3433,300.000000,0,0,0,CBC,1
10,None,64,35565.500000,35565.500000,35565.500000,35565.500000,35928.000000,35928.000000,0.000002,0.120002,38.672002,38.672002,4222,6192,300.000000,0,0,0,CBC,1
