instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000034,0.484034,0.000034,300.004034,10440,167609,300.000000,0,0,0,CBC,1
1,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000003,0.324003,0.000003,300.012003,9135,219673,300.000000,0,0,0,CBC,1
2,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000003,0.284003,0.000003,300.004003,9452,166104,300.000000,0,0,0,CBC,1
3,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000002,0.344002,0.000002,300.004002,10433,167383,300.000000,0,0,0,CBC,1
4,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000003,0.364003,0.000003,300.032003,5855,238269,300.000000,0,0,0,CBC,1
5,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000003,0.332003,0.000003,300.020003,10423,167193,300.000000,0,0,0,CBC,1
6,None,64,431.000000,431.000000,431.000000,434.000000,434.000000,100000000000000007629769841091887003294964970946560.000000,0.000002,0.260002,0.000002,300.012002,11063,197685,300.000000,0,0,0,CBC,1
7,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000003,0.336003,0.000003,300.004003,10428,167284,300.000000,0,0,0,CBC,1
8,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000002,0.296002,0.000002,300.008002,8682,197904,300.000000,0,0,0,CBC,1
9,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000004,0.336004,0.000004,300.004004,10419,167020,300.000000,0,0,0,CBC,1
10,None,64,429.000000,429.000000,429.000000,431.000000,431.000000,100000000000000007629769841091887003294964970946560.000000,0.000003,0.336003,0.000003,300.012003,8617,160731,300.000000,0,0,0,CBC,1
