instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,99.322299,100.496627,100.223484,100.980011,100.980695,100000000000000007629769841091887003294964970946560.000000,1.358073,4.922073,1.358073,300.014073,3348,187741,300.000000,4,2,170,CBC,1
1,Old,4,99.278742,100.423855,100.318554,100.911718,100.921801,100000000000000007629769841091887003294964970946560.000000,0.488836,3.128836,0.488836,300.020836,3557,182718,300.000000,4,3,0,CBC,1
2,Old,4,99.322299,100.496627,100.254668,100.949173,100.958612,100000000000000007629769841091887003294964970946560.000000,0.495201,3.195201,0.495201,300.027201,3219,167257,300.000000,4,3,0,CBC,1
3,Old,4,99.815070,100.698362,100.602392,102.387898,102.388057,100000000000000007629769841091887003294964970946560.000000,0.483489,3.015489,0.483489,300.055489,3495,198000,300.000000,4,2,0,CBC,1
4,Old,4,99.654819,100.869565,100.556550,101.356937,101.511013,100000000000000007629769841091887003294964970946560.000000,0.493239,3.665239,0.493239,300.025239,3096,164985,300.000000,4,2,0,CBC,1
5,Old,4,99.322299,100.496627,100.181753,100.922153,101.057386,100000000000000007629769841091887003294964970946560.000000,0.471718,3.431718,0.471718,300.023718,3561,193735,300.000000,4,2,0,CBC,1
6,Old,4,99.322299,100.496627,100.242292,100.961476,100.967744,100000000000000007629769841091887003294964970946560.000000,0.493773,4.177773,0.493773,300.025773,3409,182082,300.000000,4,2,0,CBC,1
7,Old,4,99.322299,100.496627,100.254668,100.949173,100.958612,100000000000000007629769841091887003294964970946560.000000,0.495355,3.207355,0.495355,300.115355,3273,167174,300.000000,4,3,0,CBC,1
8,Old,4,99.322299,100.496627,100.230940,101.007543,101.023511,100000000000000007629769841091887003294964970946560.000000,0.492130,3.416130,0.492130,300.032130,3503,182115,300.000000,4,2,0,CBC,1
9,Old,4,99.323235,100.497564,100.209782,100.924961,100.931717,100000000000000007629769841091887003294964970946560.000000,0.506330,3.922330,0.506330,300.054330,3231,170274,300.000000,4,2,0,CBC,1
10,Old,4,99.386072,100.560401,100.245527,100.996387,100.996387,120.000000,0.495320,3.167320,300.111320,300.203320,3526,195049,300.000000,4,2,0,CBC,1
