instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,5480.606156,5597.724281,5560.973364,6833.763713,7045.881369,7350.000000,0.664836,3.008836,300.040836,300.076836,20945,303616,300.000000,4,4,460,CBC,1
1,Old,4,5472.014263,5593.035948,5516.715475,7755.332843,8314.000000,8314.000000,0.228470,1.884470,224.812470,224.840470,22079,306838,300.000000,4,4,0,CBC,1
2,Old,4,5498.494232,5614.540579,5575.350898,6960.373526,7124.782189,100000000000000007629769841091887003294964970946560.000000,0.224081,2.620081,0.224081,300.036081,18847,318477,300.000000,4,6,0,CBC,1
3,Old,4,5507.361892,5623.430668,5599.645084,7721.372134,7979.321969,100000000000000007629769841091887003294964970946560.000000,0.218874,1.238874,0.218874,300.034874,27964,359067,300.000000,4,12,0,CBC,1
4,Old,4,5486.443292,5601.398138,5565.728099,7085.423358,7297.979087,100000000000000007629769841091887003294964970946560.000000,0.201007,1.973007,0.201007,300.033007,25488,350908,300.000000,4,4,0,CBC,1
5,Old,4,5495.199244,5680.402201,5639.931487,6805.026493,7205.724283,100000000000000007629769841091887003294964970946560.000000,0.169515,0.261515,0.169515,300.037515,30380,369084,300.000000,4,5,0,CBC,1
6,Old,4,5474.944889,5593.647417,5579.767664,6867.193411,7167.074430,7455.000000,0.218095,2.318095,300.054095,300.094095,18494,302843,300.000000,4,5,0,CBC,1
7,Old,4,5501.539584,5683.833567,5568.770676,7773.194771,8200.000000,8200.000000,0.167105,1.815105,261.631105,261.655105,25832,331641,300.000000,4,4,0,CBC,1
8,Old,4,5493.411654,5607.191308,5559.772669,7331.308769,7618.172403,100000000000000007629769841091887003294964970946560.000000,0.180281,0.372281,0.180281,300.020281,30091,398731,300.000000,4,3,0,CBC,1
9,Old,4,5487.628347,5602.431666,5540.890020,7209.616312,7385.612483,100000000000000007629769841091887003294964970946560.000000,0.226760,2.086760,0.226760,300.042760,23257,356763,300.000000,4,8,0,CBC,1
10,Old,4,5476.631951,5597.899117,5516.250029,7059.262552,7385.423518,7501.000000,0.236742,1.876742,300.048742,300.076742,19117,345978,300.000000,4,12,0,CBC,1
