instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,19294.125000,19294.125000,19294.125000,19294.125000,19294.125000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000003,0.000003,0.000003,0.043079,1,96,300.000000,0,0,0,GUROBI,1
1,None,64,18927.252527,18927.252527,18927.252527,18928.647000,18928.647000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000003,0.226337,0.000003,0.230681,1,30,300.000000,0,0,0,GUROBI,1
2,None,64,19000.355386,19000.355386,19000.355386,19000.634767,19000.782424,19001.256000,0.000002,0.286661,1.941792,1.943400,469,769,300.000000,0,0,0,GUROBI,1
3,None,64,19126.007267,19126.007267,19126.007267,19126.284205,19126.338076,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000003,0.292957,0.000003,0.294098,1,27,300.000000,0,0,0,GUROBI,1
4,None,64,19079.738492,19079.738492,19079.738492,19079.852673,19079.885000,19079.885010,0.000002,0.289158,0.664405,0.667799,106,147,300.000000,0,0,0,GUROBI,1
5,None,64,19041.393502,19041.393502,19041.393502,19041.393502,19041.587661,19042.520000,0.000003,0.252602,50.656234,50.657427,10207,150736,300.000000,0,0,0,GUROBI,1
6,None,64,19070.360862,19070.360862,19070.360862,19070.608399,19070.764000,19071.764000,0.000003,0.315281,13.349871,13.350969,2420,3353,300.000000,0,0,0,GUROBI,1
7,None,64,18933.175642,18933.175642,18933.175642,18933.192699,18933.643000,18934.772000,0.000003,0.288237,1.398961,1.400010,608,910,300.000000,0,0,0,GUROBI,1
8,None,64,19087.171284,19087.171284,19087.171284,19087.621982,19087.621982,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000002,0.222462,0.000002,0.225854,1,19,300.000000,0,0,0,GUROBI,1
9,None,64,18989.148068,18989.148068,18989.148068,18989.209357,18989.395267,18991.194644,0.000002,0.297879,4.416470,4.416831,718,813,300.000000,0,0,0,GUROBI,1
10,None,64,19158.466087,19158.466087,19158.466087,19158.483468,19158.584004,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000003,0.289446,0.000003,0.301966,4,14,300.000000,0,0,0,GUROBI,1
