instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,52.000000,52.000000,52.000000,83.815153,85.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000002,0.398453,0.000002,0.413729,1,1792,3600.000000,0,0,0,GUROBI,1
1,None,16,52.000000,52.000000,52.000000,83.815153,85.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000002,0.392033,0.000002,0.407250,1,1792,3600.000000,0,0,0,GUROBI,1
2,None,16,52.000000,52.000000,52.000000,84.388659,85.000000,85.000000,0.000002,0.723724,0.788161,0.794447,11,2615,3600.000000,0,0,0,GUROBI,1
3,None,16,53.000000,53.000000,53.000000,85.383200,87.000000,87.000000,0.000001,0.661439,0.718279,0.733546,10,2454,3600.000000,0,0,0,GUROBI,1
4,None,16,52.000000,52.000000,52.000000,84.981050,85.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000002,0.496116,0.000002,0.499898,1,1929,3600.000000,0,0,0,GUROBI,1
5,None,16,52.000000,52.000000,52.000000,84.256203,85.000000,85.000000,0.000002,0.602057,0.655296,0.660228,8,2120,3600.000000,0,0,0,GUROBI,1
6,None,16,52.000000,52.000000,52.000000,84.906699,85.000000,85.000000,0.000002,0.681814,0.684838,0.687270,3,2521,3600.000000,0,0,0,GUROBI,1
7,None,16,52.000000,52.000000,52.000000,83.521469,85.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000002,0.427452,0.000002,0.438971,1,1846,3600.000000,0,0,0,GUROBI,1
8,None,16,52.000000,52.000000,52.000000,84.923374,85.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000001,0.652211,0.000001,0.657779,1,2618,3600.000000,0,0,0,GUROBI,1
9,None,16,52.000000,52.000000,52.000000,84.334215,85.000000,85.000000,0.000002,0.636360,0.682917,0.686990,7,2670,3600.000000,0,0,0,GUROBI,1
10,None,16,52.000000,52.000000,52.000000,84.795439,85.000000,85.000000,0.000002,0.628591,0.743523,0.743674,21,2552,3600.000000,0,0,0,GUROBI,1
