instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,64,329598.623481,343046.825778,336037.214450,381105.520718,383285.000000,383285.000000,7.335273,7.767097,7.774806,7.777387,15,452,18.920000,92,3,40,GUROBI,1
1,Farkas,64,-336849.193348,-331842.380350,-336117.581988,116207.957689,196792.700000,196792.700000,1.943063,2.730106,2.925233,3.261225,248,2619,18.920000,92,3,0,GUROBI,1
2,Farkas,64,41834.885761,43166.103595,42664.387630,255273.220922,276188.300000,276188.300000,1.719698,2.249924,2.306689,2.318354,87,1055,18.920000,92,3,0,GUROBI,1
3,Farkas,64,146932.415988,155255.169747,149606.421378,291201.972342,330600.900000,330600.900000,1.850791,2.153081,2.236968,2.237304,106,1355,18.920000,92,3,0,GUROBI,1
4,Farkas,64,137187.974169,140970.417057,139303.188692,284134.059019,295952.500000,295952.500000,1.897243,2.300071,2.325494,2.326674,35,657,18.920000,92,3,0,GUROBI,1
5,Farkas,64,205100.434567,207479.670154,206961.747865,326748.094198,334703.800000,334703.800000,1.846884,2.175838,2.180252,2.182606,8,541,18.920000,92,3,0,GUROBI,1
6,Farkas,64,183213.673035,187959.549684,186586.013230,289242.937781,312443.600000,312443.600000,1.723049,2.120100,2.166632,2.167736,68,942,18.920000,92,3,0,GUROBI,1
7,Farkas,64,-217373.410395,-198676.335217,-212355.449566,208184.084927,299853.500000,299853.500000,1.742313,2.008414,2.339690,2.346755,306,2560,18.920000,92,3,0,GUROBI,1
8,Farkas,64,135306.739554,159624.564258,140464.845300,306632.830866,315871.200000,315871.200000,1.644496,2.176271,2.222723,2.235049,23,603,18.920000,92,3,0,GUROBI,1
9,Farkas,64,27756.243736,31064.648344,29743.847215,238712.604659,300145.800000,300145.800000,1.849520,2.141539,2.174748,2.204838,52,750,18.920000,92,3,0,GUROBI,1
10,Farkas,64,163547.661310,174578.054159,166373.234146,318920.660614,327680.300000,327680.300000,1.686489,2.120846,2.137585,2.137690,18,642,18.920000,92,3,0,GUROBI,1
