instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,4,869515.130911,869515.130911,869515.130911,873792.058578,878345.541618,878430.316000,0.000003,0.020101,1.161862,1.161940,9358,19031,300.000000,0,0,0,GUROBI,1
1,None,4,859121.696467,859121.696467,859121.696467,863206.358596,868207.316000,868207.316000,0.000005,0.015407,0.054769,0.375282,2230,5446,300.000000,0,0,0,GUROBI,1
2,None,4,878831.354211,878831.354211,878831.354211,883310.031911,887961.383441,888049.068000,0.000005,0.019505,0.026272,0.998509,6765,17720,300.000000,0,0,0,GUROBI,1
3,None,4,880316.650911,880316.650911,880316.650911,884546.578578,889182.139911,889262.316000,0.000005,0.020313,0.119410,0.948554,7319,14542,300.000000,0,0,0,GUROBI,1
4,None,4,848652.660911,848652.660911,848652.660911,852665.611929,856949.395618,857033.268289,0.000003,0.016617,0.074948,0.686049,4723,8331,300.000000,0,0,0,GUROBI,1
5,None,4,854251.121969,854251.121969,854251.121969,858136.415209,862726.359564,862805.846723,0.000005,0.016687,0.063295,0.760971,5864,12102,300.000000,0,0,0,GUROBI,1
6,None,4,863414.047511,863414.047511,863414.047511,867390.340818,872296.316000,872504.068000,0.000003,0.017090,0.580794,0.601282,4956,11433,300.000000,0,0,0,GUROBI,1
7,None,4,866359.533133,866359.533133,866359.533133,870364.678596,875022.938507,875098.316000,0.000004,0.018024,0.111142,0.973120,8464,16109,300.000000,0,0,0,GUROBI,1
8,None,4,872290.107578,872290.107578,872290.107578,876512.951911,881054.821618,881135.316000,0.000003,0.019143,0.052208,1.095038,8873,17492,300.000000,0,0,0,GUROBI,1
9,None,4,866948.840911,866948.840911,866948.840911,871368.351911,875971.798197,876050.316000,0.000004,0.018749,0.155457,1.015856,7799,14890,300.000000,0,0,0,GUROBI,1
10,None,4,877785.605356,877785.605356,877785.605356,882188.449689,886899.453008,886984.316000,0.000004,0.019338,0.048776,1.759747,14198,29274,300.000000,0,0,0,GUROBI,1
