instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,7.043999,7.118417,7.043999,7.151794,7.598985,7.598985,8.285124,8.470021,9.742287,10.058176,2141,12840,3600.000000,78,13,13,GUROBI,1
1,New,16,-3873.150637,-3872.850206,-3873.058164,-3872.880404,-3872.253513,-3872.155708,7.534302,7.624475,10.321655,10.323020,2869,26805,3600.000000,59,14,14,GUROBI,1
2,New,16,7.043999,7.118417,7.043999,7.152971,7.598985,7.692983,7.832621,8.002815,9.876685,10.066445,3263,18087,3600.000000,78,13,13,GUROBI,1
3,New,16,6.460311,6.576652,6.513875,6.571973,6.831895,6.831895,5.274033,5.412976,6.594046,6.599121,794,6176,3600.000000,33,12,12,GUROBI,1
4,New,16,6.043999,6.118417,6.077021,6.145968,6.598985,6.598985,8.370302,8.488120,9.478306,9.590495,1289,7632,3600.000000,79,13,13,GUROBI,1
5,New,16,6.087728,6.288763,6.183229,6.276326,6.716613,7.219409,8.816290,8.934202,14.554570,14.684104,8360,52117,3600.000000,64,16,16,GUROBI,1
6,New,16,6.444096,6.515040,6.444096,6.553233,6.980322,6.980322,6.077219,6.243149,6.873178,6.910107,757,4836,3600.000000,34,12,12,GUROBI,1
7,New,16,-780.075014,-779.608980,-779.616698,-779.230208,-778.859489,-778.781821,4.759749,4.897968,6.397306,6.512935,1807,11838,3600.000000,57,9,9,GUROBI,1
8,New,16,7.043999,7.118417,7.043999,7.151794,7.598602,7.598985,7.820754,8.007098,9.802393,9.939147,2763,15985,3600.000000,78,13,13,GUROBI,1
9,New,16,6.986648,7.043999,6.987739,7.082166,7.268576,7.268576,11.756672,11.911855,13.072047,13.072142,1128,7478,3600.000000,120,13,13,GUROBI,1
10,New,16,6.981375,7.032896,7.025504,7.067527,7.319324,7.319324,5.865456,6.107609,6.301768,6.371148,371,2449,3600.000000,36,12,12,GUROBI,1
