instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,58.825857,60.828967,60.828967,588.691707,3335.912407,3336.239824,1.663121,3.583468,92.061107,159.749359,57400,495627,3600.000000,4,4,136,GUROBI,1
1,New,4,59.075857,61.078967,61.078967,529.176845,3336.275154,3336.489811,1.668105,3.552563,98.944754,106.993696,19816,208739,3600.000000,4,4,136,GUROBI,1
2,New,4,2181.888555,2220.750240,2216.593866,3064.171946,6125.860059,6126.465673,1.599785,2.973214,69.526672,91.782394,23062,172583,3600.000000,4,4,135,GUROBI,1
3,New,4,-49849.148619,-49847.145509,-49847.145509,-49413.526124,-46613.593658,-46608.934452,1.659380,3.376297,50.490494,99.550299,33604,337844,3600.000000,4,4,133,GUROBI,1
4,New,4,59.026965,61.030075,61.030075,473.900462,3336.298697,3336.489791,1.681110,2.913616,92.768495,92.768675,16693,151545,3600.000000,4,4,135,GUROBI,1
5,New,4,58.884081,60.887191,60.887191,548.251559,3335.912485,3336.239824,1.621239,3.387277,89.697633,146.378809,58215,466938,3600.000000,4,4,136,GUROBI,1
6,New,4,58.825857,60.828967,60.828967,588.691707,3466.352886,3466.352886,1.661692,3.589589,57.223088,60.746703,11926,81449,3600.000000,4,4,136,GUROBI,1
7,New,4,58.575857,60.578967,60.578967,496.772157,3335.989824,3335.989824,1.668805,3.023261,79.930740,82.375572,12668,126268,3600.000000,4,4,136,GUROBI,1
8,New,4,58.749443,60.752553,60.752553,495.880701,3335.907827,3336.239824,1.667230,2.862295,147.364702,224.722432,82773,793642,3600.000000,4,4,136,GUROBI,1
9,New,4,58.575857,60.578967,60.578967,487.792786,3335.820842,3335.989801,1.666662,2.920266,78.377400,105.202093,20191,188174,3600.000000,4,4,136,GUROBI,1
10,New,4,58.825857,60.828967,60.828967,588.691707,3335.929424,3336.239824,1.655940,3.576491,124.179457,161.582466,59442,493768,3600.000000,4,4,136,GUROBI,1
