instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,4,62.637280,62.637280,62.637280,62.737055,65.660475,65.666667,0.000002,1.333908,45.728289,3553.051455,373746,29626764,3600.000000,0,0,0,GUROBI,1
1,None,4,62.635714,62.635714,62.635714,62.690000,66.998038,67.000000,0.000002,1.196803,887.929752,1906.158885,289422,19643386,3600.000000,0,0,0,GUROBI,1
2,None,4,97.500000,97.500000,97.500000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,97.500000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000003,0.016053,0.000003,0.016053,0,0,3600.000000,0,0,0,GUROBI,1
3,None,4,60.967859,60.967859,60.967859,62.690000,62.784743,62.790909,0.000002,1.241979,1531.628676,1579.236509,156442,18496522,3600.000000,0,0,0,GUROBI,1
4,None,4,61.915240,61.915240,61.915240,62.690000,66.041774,66.047619,0.000003,1.094483,460.241597,1445.675361,247807,12415035,3600.000000,0,0,0,GUROBI,1
5,None,4,61.515661,61.515661,61.515661,62.690000,65.042230,66.333333,0.000002,1.270763,3070.524585,3600.001493,669720,38001267,3600.000000,0,0,0,GUROBI,1
6,None,4,65.921429,65.921429,65.921429,65.921429,74.000000,75.250000,0.000002,1.551069,3.160822,4.722086,354,41959,3600.000000,0,0,0,GUROBI,1
7,None,4,62.690000,62.690000,62.690000,62.690000,64.201253,64.207031,0.000002,1.262379,420.129205,2241.541265,216562,14605252,3600.000000,0,0,0,GUROBI,1
8,None,4,65.921429,65.921429,65.921429,65.921429,74.000000,74.000000,0.000002,1.547325,2.617285,2.716518,104,17646,3600.000000,0,0,0,GUROBI,1
9,None,4,62.690000,62.690000,62.690000,62.690000,65.693885,65.700000,0.000002,1.398819,678.766453,2409.593274,347827,19640098,3600.000000,0,0,0,GUROBI,1
