instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,185321.356786,185722.847464,185524.812943,187626.728062,188169.969862,188182.000000,2.262519,2.668119,2.777870,2.801261,58,1810,300.000000,4,8,46,GUROBI,1
1,Farkas,4,70414.193966,70414.193966,70414.193966,78502.407778,78755.291667,78755.291667,0.158722,0.372166,0.375502,0.376606,7,620,300.000000,4,8,0,GUROBI,1
2,Farkas,4,96621.025066,96628.436831,96621.025066,103241.193132,103545.450000,103545.450000,0.143397,0.448320,0.450853,0.453614,11,626,300.000000,4,8,0,GUROBI,1
3,Farkas,4,129487.640594,129492.272822,129487.640594,144087.003030,144094.550000,144094.550000,0.199967,0.272020,0.272528,0.273319,2,323,300.000000,4,8,0,GUROBI,1
4,Farkas,4,136034.153707,136034.153707,136034.153707,139892.959146,140847.920330,140859.250000,0.128277,0.311381,0.335371,0.340866,16,732,300.000000,4,8,0,GUROBI,1
5,Farkas,4,91331.141218,91331.141218,91331.141218,100706.310289,101968.022632,101971.800000,0.155903,0.341159,0.356960,0.360103,13,790,300.000000,4,8,0,GUROBI,1
6,Farkas,4,75991.394003,77856.229331,75991.394003,90139.898854,90304.695833,90304.695833,0.144461,0.272229,0.273258,0.274600,7,501,300.000000,4,8,0,GUROBI,1
7,Farkas,4,88493.553586,89239.879770,88493.553586,107215.735980,107222.983316,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.143302,0.319401,0.143302,0.324474,1,494,300.000000,4,8,0,GUROBI,1
8,Farkas,4,140613.179978,140613.179978,140613.179978,149088.293955,149967.900000,149967.900000,0.425175,0.606369,0.616651,0.624382,17,894,300.000000,4,8,0,GUROBI,1
9,Farkas,4,88386.532994,89402.721679,88386.532994,98078.974154,98224.000000,98224.000000,0.169445,0.278012,0.281303,0.282270,5,541,300.000000,4,8,0,GUROBI,1
10,Farkas,4,96869.952142,97434.241105,96869.952142,106092.273719,106392.454167,106392.454167,0.130815,0.302107,0.313712,0.315915,11,782,300.000000,4,8,0,GUROBI,1
