instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,511.617840,531.141768,525.643612,567.481578,568.100700,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.103973,0.117406,0.103973,0.117967,1,45,300.000000,4,4,8,GUROBI,1
1,Farkas,4,496.799673,516.344421,511.108820,566.453308,567.072430,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.015176,0.028638,0.015176,0.029187,1,46,300.000000,4,4,0,GUROBI,1
2,Farkas,4,515.067678,534.568126,528.773863,575.065530,575.570880,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.014983,0.028650,0.014983,0.028997,1,46,300.000000,4,4,0,GUROBI,1
3,Farkas,4,514.393091,534.207952,527.620983,595.518781,595.756280,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.015145,0.028636,0.015145,0.029064,1,47,300.000000,4,4,0,GUROBI,1
4,Farkas,4,514.015659,533.830520,527.243551,573.763287,575.982816,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.015900,0.029397,0.015900,0.029750,1,46,300.000000,4,4,0,GUROBI,1
5,Farkas,4,511.887683,532.445597,525.115574,574.139428,575.982820,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.015243,0.028232,0.015243,0.028833,1,58,300.000000,4,4,0,GUROBI,1
6,Farkas,4,514.364175,531.141768,526.473336,567.543386,568.100700,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.014462,0.026854,0.014462,0.027193,1,46,300.000000,4,4,0,GUROBI,1
7,Farkas,4,518.421164,535.673124,527.728262,586.773595,589.416890,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.015544,0.027087,0.015544,0.027659,1,42,300.000000,4,4,0,GUROBI,1
8,Farkas,4,511.617840,532.651581,525.936221,573.511433,575.120480,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.017598,0.027884,0.017598,0.028347,1,47,300.000000,4,4,0,GUROBI,1
9,Farkas,4,506.121926,519.640410,517.516402,567.462249,568.100700,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.015559,0.027135,0.015559,0.027688,1,44,300.000000,4,4,0,GUROBI,1
10,Farkas,4,511.617840,531.141768,525.643612,567.481578,568.100700,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.014306,0.027073,0.014306,0.027612,1,45,300.000000,4,4,0,GUROBI,1
