instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,811.278996,811.278996,811.278996,811.278996,933.983287,934.007916,0.000004,0.357944,43.478943,43.479781,7082,82452,300.000000,0,0,0,GUROBI,1
1,None,64,805.875403,805.875403,805.875403,805.875403,928.007916,928.007916,0.000003,0.337753,2.991651,12.953479,3623,39398,300.000000,0,0,0,GUROBI,1
2,None,64,806.954545,806.954545,806.954545,806.954545,928.007916,928.007916,0.000004,0.332134,27.378290,27.379129,5357,61692,300.000000,0,0,0,GUROBI,1
3,None,64,810.807680,810.807680,810.807680,810.807680,932.934506,933.007916,0.000004,0.326645,37.486840,37.767392,7920,91656,300.000000,0,0,0,GUROBI,1
4,None,64,808.310456,808.310456,808.310456,808.310456,933.007916,933.007916,0.000004,0.325822,27.842690,27.847828,5836,68197,300.000000,0,0,0,GUROBI,1
5,None,64,807.375726,807.375726,807.375726,807.375726,936.007916,936.007916,0.000003,0.327938,31.292658,31.293521,6625,77795,300.000000,0,0,0,GUROBI,1
6,None,64,809.271591,809.271591,809.271591,809.271591,934.007916,934.007916,0.000003,0.351731,25.437219,30.291760,6468,72612,300.000000,0,0,0,GUROBI,1
7,None,64,802.728049,802.728049,802.728049,802.728049,931.007916,931.007916,0.000003,0.323031,24.058478,24.059277,4274,50293,300.000000,0,0,0,GUROBI,1
8,None,64,804.009198,804.009198,804.009198,804.009198,931.007916,931.007916,0.000004,0.319020,34.607370,34.608184,6562,73529,300.000000,0,0,0,GUROBI,1
9,None,64,809.905492,809.905492,809.905492,809.905492,936.980968,937.007916,0.000003,0.343503,30.286087,30.288500,6258,72666,300.000000,0,0,0,GUROBI,1
10,None,64,811.259259,811.259259,811.259259,811.259259,936.007916,936.007916,0.000003,0.346920,8.498824,22.419112,4240,58337,300.000000,0,0,0,GUROBI,1
