instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,2327.842584,2327.842584,2327.842584,2328.327296,2353.830175,2361.454195,0.000003,0.043898,80.114854,300.000584,1269905,5287573,300.000000,0,0,0,GUROBI,1
1,None,64,2330.413048,2330.413048,2330.413048,2331.778814,2356.163369,2363.454195,0.000003,0.041504,70.497388,300.000729,1350947,5388438,300.000000,0,0,0,GUROBI,1
2,None,64,2327.305190,2327.305190,2327.305190,2328.806729,2352.447792,2360.454195,0.000005,0.045042,68.941951,300.000566,1329389,5332482,300.000000,0,0,0,GUROBI,1
3,None,64,2330.613249,2330.613249,2330.613249,2331.168387,2355.829985,2362.486039,0.000005,0.042863,149.524764,300.000685,1242544,5180322,300.000000,0,0,0,GUROBI,1
4,None,64,2327.996584,2327.996584,2327.996584,2329.088850,2354.775248,2362.151386,0.000003,0.041577,196.755844,300.000679,1231429,5224743,300.000000,0,0,0,GUROBI,1
5,None,64,2329.422679,2329.422679,2329.422679,2330.151609,2356.722116,2362.454195,0.000003,0.043552,29.455902,300.000618,1293703,5236798,300.000000,0,0,0,GUROBI,1
6,None,64,2326.341697,2326.341697,2326.341697,2327.602458,2353.104574,2361.151386,0.000004,0.038503,35.463095,300.000596,1224132,5206479,300.000000,0,0,0,GUROBI,1
7,None,64,2321.074847,2321.074847,2321.074847,2322.497995,2347.616006,2353.783741,0.000005,0.045653,50.409347,300.000638,1223456,5100081,300.000000,0,0,0,GUROBI,1
8,None,64,2328.558797,2328.558797,2328.558797,2329.537917,2355.278049,2361.494144,0.000003,0.043734,63.449366,300.000599,1276439,5250165,300.000000,0,0,0,GUROBI,1
9,None,64,2326.104387,2326.104387,2326.104387,2327.087879,2357.218543,2357.454195,0.000006,0.046637,21.425133,299.017071,1268816,4996913,300.000000,0,0,0,GUROBI,1
10,None,64,2331.411552,2331.411552,2331.411552,2332.501269,2357.762106,2364.151386,0.000003,0.043900,144.577739,300.000755,1273459,5299289,300.000000,0,0,0,GUROBI,1
