instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,4,25490184.451460,25490184.451460,25490184.451460,25769952.584901,25777673.864621,25780031.424749,0.000002,1.231750,1.909762,1.930152,140,1729,300.000000,0,0,0,GUROBI,1
1,None,4,25490015.751932,25490015.751932,25490015.751932,25769760.907183,25777391.088966,25779675.883900,0.000003,0.829974,1.410519,1.410706,115,1568,300.000000,0,0,0,GUROBI,1
2,None,4,25490570.657410,25490570.657410,25490570.657410,25773440.420518,25778112.314057,25780275.586793,0.000003,0.640283,1.250207,1.751607,140,1837,300.000000,0,0,0,GUROBI,1
3,None,4,25490717.023289,25490717.023289,25490717.023289,25770712.052033,25777969.972528,25780426.947802,0.000002,1.547053,2.938771,2.939656,256,2670,300.000000,0,0,0,GUROBI,1
4,None,4,25489778.991063,25489778.991063,25489778.991063,25769957.901757,25776981.230062,25779435.488596,0.000003,1.486071,2.021777,2.067635,107,1718,300.000000,0,0,0,GUROBI,1
5,None,4,25489322.080954,25489322.080954,25489322.080954,25769950.946468,25776592.973310,25779013.590098,0.000003,1.090263,1.786439,1.786627,125,1811,300.000000,0,0,0,GUROBI,1
6,None,4,25489953.852798,25489953.852798,25489953.852798,25766368.422501,25777293.869623,25779782.668901,0.000003,1.097389,1.826265,1.888917,244,2538,300.000000,0,0,0,GUROBI,1
7,None,4,25490826.654611,25490826.654611,25490826.654611,25774712.158080,25778265.098861,25780547.881430,0.000003,1.059586,1.482361,1.483380,68,1252,300.000000,0,0,0,GUROBI,1
8,None,4,25491945.481948,25491945.481948,25491945.481948,25776616.228650,25779231.843195,25781619.398157,0.000003,1.211992,1.488990,1.500829,64,1419,300.000000,0,0,0,GUROBI,1
9,None,4,25490552.534450,25490552.534450,25490552.534450,25772441.350081,25778190.232785,25780358.000540,0.000002,1.183648,1.889663,1.983675,146,1742,300.000000,0,0,0,GUROBI,1
10,None,4,25488996.916259,25488996.916259,25488996.916259,25768423.130720,25776134.659322,25778668.077781,0.000003,1.343538,1.582000,1.740390,249,2396,300.000000,0,0,0,GUROBI,1
