instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,64,947.957237,988.333333,966.698017,1055.003125,1120.000000,1120.000000,6.029851,6.111936,6.209987,6.242008,494,3260,300.000000,148,8,8,GUROBI,1
1,Farkas,64,911.009892,931.328834,914.166017,1063.152315,1120.000000,1120.000000,0.723378,0.810774,0.900054,0.900659,382,2042,300.000000,148,8,0,GUROBI,1
2,Farkas,64,945.955263,984.154774,962.685274,1047.584416,1120.000000,1120.000000,0.668400,0.733226,0.789594,0.842141,456,2624,300.000000,148,8,0,GUROBI,1
3,Farkas,64,951.505184,990.897436,968.270205,1060.710987,1128.000000,1128.000000,0.720242,0.795240,0.835452,0.901110,408,2490,300.000000,148,8,0,GUROBI,1
4,Farkas,64,905.629580,928.750683,910.354349,1088.926012,1120.000000,1120.000000,0.651724,0.736698,1.048817,1.048891,742,4238,300.000000,148,8,0,GUROBI,1
5,Farkas,64,963.477838,989.071922,966.701778,1088.396936,1128.000000,1128.000000,0.697575,0.795907,0.808582,0.811186,48,464,300.000000,148,8,0,GUROBI,1
6,Farkas,64,959.254576,994.295517,974.284657,1114.165548,1136.000000,1136.000000,0.692757,0.748906,0.777013,0.777110,118,584,300.000000,148,8,0,GUROBI,1
7,Farkas,64,905.745488,930.578683,905.745488,1115.228814,1136.000000,1136.000000,0.782148,0.864171,0.883759,0.884424,70,433,300.000000,148,8,0,GUROBI,1
8,Farkas,64,955.361362,991.700000,965.945122,1067.440191,1136.000000,1136.000000,0.668541,0.751556,0.830847,0.872213,497,2747,300.000000,148,8,0,GUROBI,1
9,Farkas,64,910.393939,929.393939,910.393939,1060.749675,1128.000000,1128.000000,0.703146,0.780024,0.874496,0.893879,517,2482,300.000000,148,8,0,GUROBI,1
