instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,947.957237,954.735632,954.735632,1055.003125,1120.000000,1120.000000,0.318736,0.408980,0.506334,0.538287,494,3260,300.000000,4,8,8,GUROBI,1
1,New,4,947.431579,947.957237,947.957237,1060.612839,1121.000000,1121.000000,0.286640,0.363933,0.371383,0.421452,197,1445,300.000000,4,7,7,GUROBI,1
2,New,4,947.957237,948.469130,948.469130,1052.308663,1120.000000,1120.000000,0.316309,0.378119,0.541592,0.562102,795,4392,300.000000,4,9,9,GUROBI,1
3,New,4,947.957237,951.922565,950.342001,1055.003125,1120.000000,1120.000000,0.306590,0.387865,0.417682,0.488214,310,2157,300.000000,4,8,8,GUROBI,1
4,New,4,951.429842,955.244646,955.244646,1058.937669,1120.000000,1120.000000,0.299165,0.383992,0.705502,0.705580,646,3396,300.000000,4,8,8,GUROBI,1
5,New,4,944.492260,944.659109,944.505263,1066.813880,1121.000000,1121.000000,0.248733,0.328603,0.396828,0.396896,234,1605,300.000000,4,6,6,GUROBI,1
6,New,4,946.957237,953.735632,953.735632,1056.285714,1118.000000,1118.000000,0.307370,0.380374,0.482040,0.489119,529,2503,300.000000,4,7,8,GUROBI,1
7,New,4,946.699545,947.546053,947.546053,1064.669348,1119.000000,1119.000000,0.315248,0.406091,0.442866,0.483490,305,1941,300.000000,4,9,9,GUROBI,1
8,New,4,948.031579,948.568421,948.568421,1061.687605,1122.000000,1122.000000,0.238989,0.332804,0.433536,0.433609,448,2336,300.000000,4,6,6,GUROBI,1
9,New,4,952.235746,952.761404,952.761404,1063.817337,1121.000000,1121.000000,0.275836,0.347769,0.472548,0.484548,501,2587,300.000000,4,7,7,GUROBI,1
10,New,4,948.316118,948.460855,948.460855,1058.598605,1122.000000,1122.000000,0.272139,0.338710,0.406318,0.413425,288,1710,300.000000,4,7,7,GUROBI,1
