instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,38893.903641,38893.903641,38893.903641,39029.457292,40001.062911,40005.053810,0.000002,0.203765,10.368583,44.577473,221514,1146200,300.000000,0,0,0,GUROBI,1
1,None,64,38893.968436,38893.968436,38893.968436,39041.804949,40001.067725,40005.053810,0.000003,0.207332,4.110580,61.081336,329831,1704512,300.000000,0,0,0,GUROBI,1
2,None,64,38893.807445,38893.807445,38893.807445,39041.634741,40001.055452,40005.053810,0.000003,0.207797,2.024991,72.856443,399008,2052828,300.000000,0,0,0,GUROBI,1
3,None,64,45252.974324,45252.974324,45252.974324,45386.404547,46314.700188,46319.323140,0.000003,0.442006,30.909146,93.230363,496509,2454428,300.000000,0,0,0,GUROBI,1
4,None,64,38893.853150,38893.853150,38893.853150,38998.015406,40000.183345,40004.142150,0.000004,0.145875,48.944395,80.104495,403171,2050877,300.000000,0,0,0,GUROBI,1
5,None,64,38893.838845,38893.838845,38893.838845,39032.345419,40001.059479,40005.053810,0.000003,0.203513,42.217334,71.721039,378586,1915503,300.000000,0,0,0,GUROBI,1
6,None,64,38894.063230,38894.063230,38894.063230,39027.260467,40001.055575,40005.053810,0.000002,0.213990,12.031286,81.939362,449970,2276942,300.000000,0,0,0,GUROBI,1
7,None,64,38893.923947,38893.923947,38893.923947,39042.953936,40001.141964,40005.142150,0.000004,0.235897,2.249705,85.487826,478948,2428099,300.000000,0,0,0,GUROBI,1
8,None,64,38893.838845,38893.838845,38893.838845,39032.345419,40001.059479,40005.053810,0.000003,0.201706,42.165650,72.208254,378586,1915503,300.000000,0,0,0,GUROBI,1
9,None,64,32669.059651,32669.059651,32669.059651,32820.504381,33683.698879,33687.053820,0.000003,0.145006,6.635875,35.107188,184638,972750,300.000000,0,0,0,GUROBI,1
10,None,64,38893.999836,38893.999836,38893.999836,38998.148287,40001.055677,40005.053810,0.000003,0.146398,20.781921,50.562078,244674,1243380,300.000000,0,0,0,GUROBI,1
