instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,-61651.227098,-61651.227098,-61651.227098,-54592.363314,-52301.000000,-52301.000000,0.000002,0.202417,1.907084,2.293554,1128,19078,300.000000,0,0,0,GUROBI,1
1,None,64,-61648.057368,-61648.057368,-61648.057368,-54824.477296,-52325.000000,-52325.000000,0.000003,0.133716,2.188208,2.851295,1468,24703,300.000000,0,0,0,GUROBI,1
2,None,64,-61654.557213,-61654.557213,-61654.557213,-54545.473858,-52289.785710,-52287.000000,0.000003,0.194509,1.915528,1.994154,1040,14297,300.000000,0,0,0,GUROBI,1
3,None,64,-61647.818622,-61647.818622,-61647.818622,-54515.484629,-52301.228940,-52301.000000,0.000002,0.195121,2.925473,2.963869,1136,16214,300.000000,0,0,0,GUROBI,1
4,None,64,-61648.289091,-61648.289091,-61648.289091,-54577.448413,-52273.000000,-52273.000000,0.000003,0.198464,1.889543,2.980441,2125,34802,300.000000,0,0,0,GUROBI,1
5,None,64,-61538.180890,-61538.180890,-61538.180890,-54403.103349,-52244.000000,-52244.000000,0.000003,0.191913,1.923735,1.934268,891,9789,300.000000,0,0,0,GUROBI,1
6,None,64,-61654.749735,-61654.749735,-61654.749735,-54829.673912,-52288.008221,-52287.000000,0.000003,0.135230,2.618235,2.901595,1539,27285,300.000000,0,0,0,GUROBI,1
7,None,64,-61648.178425,-61648.178425,-61648.178425,-54572.051522,-52306.185286,-52301.000000,0.000003,0.197563,2.548792,2.704819,1479,21506,300.000000,0,0,0,GUROBI,1
8,None,64,-61648.325054,-61648.325054,-61648.325054,-54521.267643,-52381.000000,-52381.000000,0.000003,0.194217,2.267831,2.387753,893,9746,300.000000,0,0,0,GUROBI,1
9,None,64,-61717.534338,-61717.534338,-61717.534338,-54884.765273,-52407.000000,-52407.000000,0.000002,0.163503,1.915297,2.314900,1309,19486,300.000000,0,0,0,GUROBI,1
10,None,64,-61647.953892,-61647.953892,-61647.953892,-54576.223343,-52289.684119,-52287.000000,0.000002,0.197610,2.055959,2.243728,1533,21631,300.000000,0,0,0,GUROBI,1
