instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,4,1415.000000,1415.000000,1415.000000,1518.000000,2810.000000,2810.000000,0.000003,0.460516,3.287464,7.159611,4234,50582,1376.760000,0,0,0,GUROBI,1
1,None,4,1408.750000,1408.750000,1408.750000,1516.633333,2806.000000,2806.000000,0.000003,0.481545,13.453186,66.265987,26166,414283,1376.760000,0,0,0,GUROBI,1
2,None,4,1415.000000,1415.000000,1415.000000,1518.100000,2809.000000,2809.000000,0.000003,0.408416,12.459577,65.969401,29598,371820,1376.760000,0,0,0,GUROBI,1
3,None,4,1413.500000,1413.500000,1413.500000,1520.765432,2806.000000,2806.000000,0.000003,0.452373,33.921411,39.013083,28656,348507,1376.760000,0,0,0,GUROBI,1
4,None,4,1412.833333,1412.833333,1412.833333,1525.625000,2806.000000,2806.000000,0.000003,0.422508,73.950766,73.950918,26478,382398,1376.760000,0,0,0,GUROBI,1
5,None,4,1414.000000,1414.000000,1414.000000,1525.147035,2807.000000,2807.000000,0.000003,0.458333,21.503952,53.112217,33584,464806,1376.760000,0,0,0,GUROBI,1
6,None,4,1414.500000,1414.500000,1414.500000,1518.350000,2810.000000,2810.000000,0.000003,0.516954,9.041282,35.507482,24885,285414,1376.760000,0,0,0,GUROBI,1
7,None,4,1412.000000,1412.000000,1412.000000,1517.812838,2804.000000,2804.000000,0.000003,0.434123,76.115466,76.115622,24941,369779,1376.760000,0,0,0,GUROBI,1
8,None,4,1413.500000,1413.500000,1413.500000,1517.866667,2806.000000,2806.000000,0.000003,0.424522,38.497540,40.288925,28027,323914,1376.760000,0,0,0,GUROBI,1
9,None,4,1410.500000,1410.500000,1410.500000,1523.811141,2799.000000,2799.000000,0.000003,0.482339,20.182488,38.606352,28727,340117,1376.760000,0,0,0,GUROBI,1
10,None,4,1413.500000,1413.500000,1413.500000,1517.600000,2806.000000,2806.000000,0.000003,0.449942,6.454609,35.293376,26415,314195,1376.760000,0,0,0,GUROBI,1
