instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-194.000000,0.000004,13.479002,129.745386,300.003655,8433,953094,300.000000,0,0,0,GUROBI,1
1,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,0.000003,10.549671,231.654607,231.660413,5842,706005,300.000000,0,0,0,GUROBI,1
2,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,0.000003,7.974372,28.766944,28.771640,385,61918,300.000000,0,0,0,GUROBI,1
3,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,0.000003,7.324486,190.738958,190.745852,3572,532480,300.000000,0,0,0,GUROBI,1
4,None,64,-194.000000,-194.000000,-194.000000,-194.000000,-194.000000,-194.000000,0.000004,10.220466,171.807334,171.812700,4256,628105,300.000000,0,0,0,GUROBI,1
5,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,0.000003,7.015705,9.262684,9.265645,16,25879,300.000000,0,0,0,GUROBI,1
6,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-194.333333,0.000003,8.034877,104.830574,300.002857,10078,1081191,300.000000,0,0,0,GUROBI,1
7,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,0.000003,11.662475,158.990217,158.995681,2525,403830,300.000000,0,0,0,GUROBI,1
8,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-193.000000,0.000004,12.111489,37.634025,300.002850,5802,817444,300.000000,0,0,0,GUROBI,1
9,None,64,-194.000000,-194.000000,-194.000000,-194.000000,-194.000000,-193.000000,0.000003,11.250180,223.003694,300.003765,6096,984396,300.000000,0,0,0,GUROBI,1
10,None,64,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,-195.000000,0.000003,29.834388,280.846452,280.852256,3136,608608,300.000000,0,0,0,GUROBI,1
