instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,103.403157,104.425461,103.708530,113.134636,119.000000,120.000000,2.254622,2.394141,3.942654,4.074878,1139,15900,300.000000,4,12,28,GUROBI,1
1,Farkas,4,112.633496,113.143392,112.633496,139.023531,144.000000,144.000000,0.162434,0.230188,0.257251,0.258082,89,501,300.000000,4,12,0,GUROBI,1
2,Farkas,4,112.800416,113.739372,112.800810,133.143535,139.000000,139.000000,0.134005,0.373478,0.918539,1.089471,836,11179,300.000000,4,12,0,GUROBI,1
3,Farkas,4,110.757762,113.407838,110.871154,130.292202,137.000000,137.000000,0.143290,0.314740,0.968326,1.306880,1022,15266,300.000000,4,12,0,GUROBI,1
4,Farkas,4,103.391549,104.225817,103.571613,113.278652,120.000000,120.000000,0.095278,0.222713,2.103175,2.863691,1513,24907,300.000000,4,12,0,GUROBI,1
5,Farkas,4,106.626960,106.937182,106.626960,121.565136,126.000000,126.000000,0.099087,0.288452,2.058840,2.100652,930,15462,300.000000,4,12,0,GUROBI,1
6,Farkas,4,107.890926,108.752070,107.957421,126.015602,131.000000,133.000000,0.118715,0.325622,1.570178,1.723008,811,13034,300.000000,4,12,0,GUROBI,1
7,Farkas,4,106.906853,108.143371,107.004996,120.957404,124.000000,125.000000,0.111056,0.282024,0.739147,0.873577,608,8572,300.000000,4,12,0,GUROBI,1
8,Farkas,4,106.385399,106.407548,106.385399,120.709197,123.000000,124.000000,0.112360,0.261515,0.342393,0.342482,149,1519,300.000000,4,12,0,GUROBI,1
9,Farkas,4,103.433226,103.517148,103.468567,114.524568,120.000000,120.000000,0.089981,0.275989,0.580938,1.123319,962,12704,300.000000,4,12,0,GUROBI,1
