instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,103.403157,104.425461,103.708530,113.134636,119.000000,120.000000,2.275643,2.418006,4.003690,4.137488,1139,15900,300.000000,4,12,28,GUROBI,1
1,Old,4,103.401795,104.428761,103.604100,113.804657,119.000000,119.000000,0.553227,0.752121,2.113572,2.253387,787,13128,300.000000,4,4,0,GUROBI,1
2,Old,4,103.888125,104.505185,103.955883,113.425171,119.000000,120.000000,0.558505,0.716570,3.077454,3.077551,1498,25438,300.000000,4,9,0,GUROBI,1
3,Old,4,103.410055,104.431007,103.609396,113.158411,119.000000,119.000000,0.458514,0.624010,1.654428,1.788366,661,9038,300.000000,4,4,0,GUROBI,1
4,Old,4,103.404315,104.426467,103.600975,115.719423,119.000000,119.000000,0.530740,0.748806,1.038683,1.105881,462,5845,300.000000,4,4,0,GUROBI,1
5,Old,4,103.405097,104.427617,103.603146,113.582820,119.000000,119.000000,0.412030,0.643259,1.934188,1.997421,771,12105,300.000000,4,4,0,GUROBI,1
6,Old,4,103.316875,104.436535,103.777133,114.217397,119.000000,119.000000,0.488010,0.639221,1.686234,1.751020,629,9112,300.000000,4,3,0,GUROBI,1
7,Old,4,103.428958,104.456786,103.626567,114.052194,119.000000,119.000000,0.478426,0.672464,2.392299,2.392390,1179,18931,300.000000,4,4,0,GUROBI,1
8,Old,4,103.498969,104.446250,104.037130,112.866799,120.000000,121.000000,0.647412,0.774076,1.072274,1.766243,537,7780,300.000000,4,6,0,GUROBI,1
9,Old,4,103.393335,104.411227,103.592554,115.327731,119.000000,119.000000,0.527201,0.720449,1.077516,1.165759,507,7469,300.000000,4,4,0,GUROBI,1
