instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,954341.026667,954341.026667,954341.026667,968014.539589,987794.814989,988598.820000,0.000003,9.841695,331.535042,3600.109116,234144,2744691,3600.000000,0,0,0,GUROBI,1
1,None,64,-266583.237800,-266583.237800,-266583.237800,-204215.811755,-202871.016785,-202866.940000,0.000003,1.137073,1.229129,1.308771,33,1130,3600.000000,0,0,0,GUROBI,1
2,None,64,-1581109.690138,-1581109.690138,-1581109.690138,-1511768.361062,-1511718.700000,-1511718.700000,0.000003,0.840122,0.855574,0.858147,14,908,3600.000000,0,0,0,GUROBI,1
3,None,64,173564.605944,173564.605944,173564.605944,236694.770602,237092.645821,237099.950000,0.000002,0.956658,1.022182,1.052586,23,1267,3600.000000,0,0,0,GUROBI,1
4,None,64,91990.392886,91990.392886,91990.392886,159635.292724,160372.039261,160382.480000,0.000002,1.095221,1.308956,1.309140,35,1308,3600.000000,0,0,0,GUROBI,1
5,None,64,646118.772300,646118.772300,646118.772300,697733.151315,700958.541243,701013.710000,0.000003,1.567437,2.382218,2.580967,219,2869,3600.000000,0,0,0,GUROBI,1
6,None,64,-244523.679229,-244523.679229,-244523.679229,-171054.934375,-168549.740000,-168549.740000,0.000003,0.893269,1.383099,1.407648,80,1457,3600.000000,0,0,0,GUROBI,1
7,None,64,-403820.168454,-403820.168454,-403820.168454,-325504.243513,-324282.086774,-324255.020000,0.000002,1.085442,1.399655,1.399831,64,1163,3600.000000,0,0,0,GUROBI,1
8,None,64,324630.186986,324630.186986,324630.186986,388052.445162,390287.857308,390308.580000,0.000002,1.308797,1.739348,1.839046,94,1623,3600.000000,0,0,0,GUROBI,1
9,None,64,-85001.687139,-85001.687139,-85001.687139,-14936.547812,-14341.090000,-14341.090000,0.000002,0.522636,0.583267,0.608600,23,1067,3600.000000,0,0,0,GUROBI,1
10,None,64,129909.310750,129909.310750,129909.310750,190563.013421,190772.925623,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,0.000003,1.256446,0.000003,1.285984,10,1138,3600.000000,0,0,0,GUROBI,1
