instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,42.000000,42.000000,42.000000,42.000000,134.000000,134.000000,352.672536,353.052200,359.226519,366.590548,3447,85955,3600.000000,193,30,53,GUROBI,1
1,New,16,38.259446,38.619048,38.313724,62.159356,134.000000,134.000000,262.757049,265.135998,291.805023,299.697673,2555,148555,3600.000000,201,18,75,GUROBI,1
2,New,16,41.066667,41.142857,41.088624,42.000000,133.000000,133.000000,477.198767,477.558101,996.306672,996.306835,6737,918353,3600.000000,168,62,62,GUROBI,1
3,New,16,38.476190,38.476190,38.476190,61.396755,132.000000,132.000000,635.994525,637.726895,662.002048,664.363190,2317,108796,3600.000000,211,64,64,GUROBI,1
4,New,16,40.116279,40.162257,40.118125,57.836950,131.000000,131.000000,294.529207,296.447120,316.277400,323.246285,2463,122553,3600.000000,171,33,85,GUROBI,1
5,New,16,38.411111,38.694558,38.574787,57.925451,132.000000,132.000000,101.798920,103.780471,125.557562,128.671333,2607,138716,3600.000000,171,8,65,GUROBI,1
6,New,16,38.725765,39.441043,38.855946,66.428214,133.000000,133.000000,543.153941,545.583784,563.091164,581.415300,2973,198049,3600.000000,188,46,75,GUROBI,1
7,New,16,41.002692,41.002692,41.002692,61.091440,132.000000,132.000000,77.667057,79.944417,102.982582,108.358601,2547,137330,3600.000000,147,5,66,GUROBI,1
8,New,16,38.113225,38.544218,38.257128,58.790943,131.000000,131.000000,955.650955,958.020918,999.280254,1004.387889,4145,227565,3600.000000,220,81,81,GUROBI,1
9,New,16,38.003140,38.234674,38.011966,55.425075,131.000000,131.000000,1050.000643,1051.821439,1081.970539,1084.021099,3270,169139,3600.000000,248,20,69,GUROBI,1
10,New,16,39.500000,40.075774,40.030100,60.583586,131.000000,131.000000,708.507543,711.192142,745.262311,749.181317,3626,210342,3600.000000,207,48,53,GUROBI,1
