instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,34241.131698,34400.553041,34348.131698,36840.705618,37783.613996,37786.430000,6.624922,7.285737,11.057097,11.057232,851,16746,3600.000000,16,3,31,GUROBI,1
1,New,16,33890.530856,34068.881290,34029.603186,35840.990314,37554.364032,37557.780000,8.111520,8.955617,15.145030,15.175162,1530,39024,3600.000000,16,4,30,GUROBI,1
2,New,16,33573.078725,33782.751897,33715.630601,35706.619626,37303.648023,37307.100000,40.486694,41.381898,46.291734,47.209320,1695,36791,3600.000000,16,29,36,GUROBI,1
3,New,16,33662.611057,33931.472369,33797.240090,35723.705775,37269.398645,37270.980000,42.087414,43.373034,45.367228,45.420319,755,19749,3600.000000,16,28,28,GUROBI,1
4,New,16,33438.384066,33722.349446,33608.861984,35519.220700,37114.826737,37117.280000,45.112842,46.299340,51.029590,51.070284,1082,29754,3600.000000,16,32,32,GUROBI,1
5,New,16,33976.711544,34301.081093,34070.867697,36435.885119,37495.253363,37498.600000,7.907808,8.720702,10.471034,10.471169,497,15043,3600.000000,16,4,31,GUROBI,1
6,New,16,34319.391329,34484.434153,34410.313203,36255.452444,37895.716222,37898.900000,51.424601,52.447024,56.528962,57.034052,1263,30488,3600.000000,48,31,31,GUROBI,1
7,New,16,33880.104978,34102.704525,33994.249281,36018.964703,37529.850000,37529.850000,47.597380,48.739367,52.451463,52.451608,807,21998,3600.000000,26,33,33,GUROBI,1
8,New,16,33944.530560,34146.636041,34026.065704,35797.954927,37505.096994,37508.610000,7.749994,8.616855,12.848284,14.414123,1496,39159,3600.000000,16,4,31,GUROBI,1
9,New,16,33383.697470,33613.452281,33449.867222,35275.724397,37035.629027,37038.930000,7.189665,7.881450,14.768861,14.805671,1199,33227,3600.000000,16,3,34,GUROBI,1
