instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,4,0.000000,0.000000,0.000000,2.000000,18.000000,18.000000,0.000003,3.773887,5.949232,32.657979,1251,139824,300.000000,0,0,0,GUROBI,1
1,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000004,12.207063,94.716924,300.001528,6673,1094407,300.000000,0,0,0,GUROBI,1
2,None,4,0.000000,0.000000,0.000000,2.000000,18.000000,18.000000,0.000004,3.796975,5.984322,32.873394,1251,139824,300.000000,0,0,0,GUROBI,1
3,None,4,0.000000,0.000000,0.000000,0.000000,3.000000,18.000000,0.000004,13.329870,15.497385,300.000728,5861,1378451,300.000000,0,0,0,GUROBI,1
4,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000003,10.040740,72.166759,300.002278,6365,1069007,300.000000,0,0,0,GUROBI,1
5,None,4,0.000000,0.000000,0.000000,0.000000,3.000000,18.000000,0.000004,10.806041,78.361995,300.000751,7946,1348476,300.000000,0,0,0,GUROBI,1
6,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000004,10.733800,134.987510,300.001026,5628,1277112,300.000000,0,0,0,GUROBI,1
7,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000004,14.494230,111.777695,300.002362,8109,1129121,300.000000,0,0,0,GUROBI,1
8,None,4,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000004,11.032722,116.111286,300.013376,7487,1124400,300.000000,0,0,0,GUROBI,1
9,None,4,0.000000,0.000000,0.000000,0.000000,-0.000000,18.000000,0.000003,10.748216,72.616848,300.001953,7727,1107767,300.000000,0,0,0,GUROBI,1
10,None,4,0.000000,0.000000,0.000000,0.000000,6.000000,18.000000,0.000003,11.371106,54.744726,300.000614,9669,1431576,300.000000,0,0,0,GUROBI,1
