instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,13.000000,13.000000,13.000000,13.382359,15.000000,15.000000,0.000003,0.325969,0.463047,409.525947,421383,6220653,3600.000000,0,0,0,GUROBI,1
1,None,16,13.000000,13.000000,13.000000,13.441947,15.000000,15.000000,0.000003,0.294511,2.009453,306.712221,307322,4741861,3600.000000,0,0,0,GUROBI,1
2,None,16,12.968750,12.968750,12.968750,13.363159,14.936508,14.937500,0.000002,0.271737,266.253859,509.727367,558205,8062014,3600.000000,0,0,0,GUROBI,1
3,None,16,13.000000,13.000000,13.000000,13.333333,14.998765,15.000000,0.000002,0.160125,1.786679,373.011939,290276,4445479,3600.000000,0,0,0,GUROBI,1
4,None,16,13.031250,13.031250,13.031250,13.417972,14.998670,15.000000,0.000002,0.258729,0.362466,299.334411,284791,3850695,3600.000000,0,0,0,GUROBI,1
5,None,16,13.031250,13.031250,13.031250,13.433128,14.998575,15.000000,0.000003,0.351102,1.917987,748.047966,621275,8950945,3600.000000,0,0,0,GUROBI,1
6,None,16,12.968750,12.968750,12.968750,13.411076,14.936170,14.937500,0.000003,0.292869,0.653222,447.103917,394713,6026520,3600.000000,0,0,0,GUROBI,1
7,None,16,13.015625,13.015625,13.015625,13.357726,15.000000,15.000000,0.000003,0.347649,0.445661,292.211849,349933,4898747,3600.000000,0,0,0,GUROBI,1
8,None,16,13.031250,13.031250,13.031250,13.433128,14.998575,15.000000,0.000002,0.341867,1.911231,749.099713,621275,8950945,3600.000000,0,0,0,GUROBI,1
9,None,16,13.031250,13.031250,13.031250,13.444636,15.000000,15.000000,0.000002,0.301321,652.347440,653.239683,629333,8137448,3600.000000,0,0,0,GUROBI,1
10,None,16,13.031250,13.031250,13.031250,13.265625,15.000000,15.000000,0.000002,0.205690,0.732288,211.126850,332798,4033220,3600.000000,0,0,0,GUROBI,1
