instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,64,99.322299,102.201564,101.598224,107.844695,120.000000,120.000000,67.205796,67.824458,68.227244,68.696945,612,16758,300.000000,64,4,17,GUROBI,1
1,New,64,99.278742,102.287609,101.003873,107.853004,120.000000,120.000000,86.231097,86.815395,87.230039,87.738400,614,16597,300.000000,64,17,17,GUROBI,1
2,New,64,99.322299,102.201564,101.763360,107.857070,120.000000,120.000000,70.332428,70.917579,71.433490,71.834034,641,17704,300.000000,64,6,17,GUROBI,1
3,New,64,99.815070,104.346595,101.045044,110.785863,125.000000,125.000000,28.621010,29.296758,29.730306,30.294134,650,18942,300.000000,65,2,18,GUROBI,1
4,New,64,99.654819,102.733320,102.142705,108.104884,121.000000,121.000000,61.946086,62.560968,62.970769,63.420158,632,16084,300.000000,64,8,17,GUROBI,1
5,New,64,99.322299,102.201564,101.571588,107.891716,120.000000,120.000000,55.182060,55.817936,56.174481,56.752845,642,17294,300.000000,64,5,17,GUROBI,1
6,New,64,99.322299,102.200976,101.880802,108.017185,119.500000,119.500000,96.469694,96.972404,97.283467,97.857286,599,16187,300.000000,74,17,17,GUROBI,1
7,New,64,99.322299,102.201564,101.797255,107.957789,120.000000,120.000000,71.408084,72.077058,72.412653,72.928829,606,16211,300.000000,64,6,17,GUROBI,1
8,New,64,99.322299,102.201564,101.776013,107.910404,120.000000,120.000000,56.394669,57.023229,57.382652,57.930592,614,16933,300.000000,64,5,17,GUROBI,1
9,New,64,99.323235,102.203573,100.878846,101.180437,122.000000,122.000000,57.555501,58.431746,59.459224,59.671875,833,24031,300.000000,66,3,17,GUROBI,1
10,New,64,99.386072,102.443758,101.500489,107.605636,120.000000,120.000000,97.191913,97.748358,98.131854,98.646316,613,16855,300.000000,64,18,18,GUROBI,1
