instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,-16646.586017,-16604.076548,-16632.927170,-14367.400780,-14340.786507,-14339.353447,10.590237,11.596841,68.207616,76.194361,9311,281841,300.000000,4,5,88,GUROBI,1
1,Old,4,-16646.440112,-16605.234701,-16632.441905,-14382.361679,-14363.062252,-14361.632107,4.457011,5.534400,95.611046,138.626048,12918,508242,300.000000,4,3,0,GUROBI,1
2,Old,4,-16644.521368,-16601.671633,-16630.408611,-14365.021622,-14344.210268,-14342.777176,4.535454,5.606279,241.367971,244.407663,23528,783781,300.000000,4,3,0,GUROBI,1
3,Old,4,-16652.575786,-16611.268780,-16634.960967,-14375.320765,-14358.312722,-14356.879504,4.477658,5.485048,74.717366,96.634560,9474,361388,300.000000,4,4,0,GUROBI,1
4,Old,4,-16645.385424,-16601.309566,-16622.785921,-14364.608056,-14349.169040,-14347.774267,4.498437,5.559151,68.748873,86.893244,8406,305587,300.000000,4,4,0,GUROBI,1
5,Old,4,-16644.341242,-16601.401050,-16630.297033,-14364.721826,-14352.709334,-14335.980093,4.423521,5.511381,214.000827,300.001515,29777,1082411,300.000000,4,3,0,GUROBI,1
6,Old,4,-16644.572347,-16602.704114,-16631.503820,-14368.377857,-14349.140392,-14347.705914,4.530050,5.669098,158.984854,160.637232,17912,623752,300.000000,4,4,0,GUROBI,1
7,Old,4,-16653.758372,-16609.380955,-16642.308795,-14374.068676,-14362.035828,-14360.617067,4.537484,5.619165,56.807080,67.252669,5319,221887,300.000000,4,3,0,GUROBI,1
8,Old,4,-16647.627817,-16605.188720,-16639.055621,-14372.597009,-14356.365446,-14354.945605,4.615477,5.708496,201.189358,228.308085,20655,823673,300.000000,4,4,0,GUROBI,1
9,Old,4,-16650.573956,-16608.457321,-16631.510033,-14371.637883,-14361.122616,-14359.686697,4.770720,5.937658,27.211881,34.585839,2455,105780,300.000000,4,3,0,GUROBI,1
10,Old,4,-16648.255451,-16606.891305,-16629.124782,-14369.829700,-14352.318978,-14351.249905,4.456545,5.579649,180.543590,180.545683,14373,566771,300.000000,4,4,0,GUROBI,1
