instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,256,12907.779167,12907.779167,12907.779167,15483.577258,16029.692681,16029.692681,0.000003,0.380185,0.483906,0.484080,35,2508,300.000000,0,0,0,GUROBI,1
1,None,256,12907.779167,12907.779167,12907.779167,15641.560659,16029.692681,16029.692681,0.000003,0.466689,0.650582,0.650750,45,2423,300.000000,0,0,0,GUROBI,1
2,None,256,12907.779167,12907.779167,12907.779167,15488.256121,16029.692681,16029.692681,0.000003,0.455041,0.614166,0.629146,43,3720,300.000000,0,0,0,GUROBI,1
3,None,256,12949.919167,12949.919167,12949.919167,15236.375882,16029.692681,16029.692681,0.000002,0.348982,0.655770,0.694172,65,3058,300.000000,0,0,0,GUROBI,1
4,None,256,12907.779167,12907.779167,12907.779167,15423.217154,16029.692681,16029.692681,0.000002,0.382997,0.498559,0.498731,47,2626,300.000000,0,0,0,GUROBI,1
5,None,256,12907.779167,12907.779167,12907.779167,15714.681373,16029.692681,16029.692681,0.000002,0.669934,0.731978,0.732147,30,3081,300.000000,0,0,0,GUROBI,1
6,None,256,12907.779167,12907.779167,12907.779167,15558.674397,16029.692681,16029.692681,0.000002,0.365830,0.466055,0.466225,40,2327,300.000000,0,0,0,GUROBI,1
7,None,256,12672.738333,12672.738333,12672.738333,15198.820474,15840.485681,15840.485681,0.000003,0.390849,0.490714,0.527037,45,3046,300.000000,0,0,0,GUROBI,1
8,None,256,12877.694833,12877.694833,12877.694833,16158.123106,16572.868138,16572.868138,0.000003,0.439522,0.595154,0.601657,68,3131,300.000000,0,0,0,GUROBI,1
9,None,256,12907.779167,12907.779167,12907.779167,15649.883025,16029.692681,16029.692681,0.000002,0.285283,0.353834,0.428975,55,2701,300.000000,0,0,0,GUROBI,1
10,None,256,12907.779167,12907.779167,12907.779167,15431.224532,16029.692681,16029.692681,0.000003,0.306447,0.417357,0.417525,41,2564,300.000000,0,0,0,GUROBI,1
