instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,3157.377442,3180.305873,3180.305873,3467.173472,3663.652295,3664.000000,2.654738,3.057380,53.920949,53.921071,12577,415176,300.000000,4,13,17,GUROBI,1
1,Old,4,3164.551342,3191.034945,3185.206773,3432.601898,3639.682516,3640.000000,1.047879,1.374637,54.588050,55.437654,16301,483782,300.000000,4,19,0,GUROBI,1
2,Old,4,3096.127241,3111.283148,3111.283148,3376.063986,3601.641508,3602.000000,0.550021,0.833680,79.111481,84.325416,18881,543487,300.000000,4,17,0,GUROBI,1
3,Old,4,3157.810592,3180.305873,3180.305873,3476.737195,3663.644721,3664.000000,0.504387,0.886546,73.286327,76.121721,17284,556195,300.000000,4,17,0,GUROBI,1
4,Old,4,3146.078403,3177.393933,3177.393933,3465.061292,3664.684379,3665.000000,0.492253,0.892703,49.281861,51.428904,16764,474923,300.000000,4,17,0,GUROBI,1
5,Old,4,3118.869750,3141.890215,3135.732361,3440.663439,3647.635537,3648.000000,0.469442,0.904555,108.515240,108.726874,22315,720235,300.000000,4,18,0,GUROBI,1
6,Old,4,3083.572860,3097.088312,3097.088312,3406.872649,3600.641370,3601.000000,0.433095,0.869294,31.269101,36.590527,10560,291061,300.000000,4,18,0,GUROBI,1
7,Old,4,3158.649591,3169.000253,3169.000253,3444.942311,3638.641879,3639.000000,0.429383,0.804009,37.188982,38.395149,11928,363669,300.000000,4,19,0,GUROBI,1
8,Old,4,3177.621212,3198.150659,3198.150659,3479.984376,3686.728325,3687.000000,0.450740,0.847606,29.545071,53.512473,13262,447615,300.000000,4,16,0,GUROBI,1
9,Old,4,3047.594068,3095.888959,3078.660441,3400.280785,3591.791659,3592.000000,0.456049,0.833492,23.925616,24.089711,6137,186000,300.000000,4,18,0,GUROBI,1
10,Old,4,3095.209788,3110.826508,3108.200187,3462.365705,3604.727102,3605.000000,0.410751,0.941309,16.153962,16.154098,4846,144699,300.000000,4,15,0,GUROBI,1
