instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,256,216670237.636667,216670237.636667,216670237.636667,217990936.336373,219660400.012214,219676790.400000,0.000003,5.142187,11.478074,49.189257,712,38060,300.000000,0,0,0,GUROBI,1
1,None,256,216670230.099943,216670230.099943,216670230.099943,218066761.494823,219661088.543875,219676792.400000,0.000002,5.508166,33.451666,41.232999,1442,83677,300.000000,0,0,0,GUROBI,1
2,None,256,216670221.554440,216670221.554440,216670221.554440,218137369.380861,219676804.400000,219676804.400000,0.000003,9.055171,39.955847,39.956485,1064,56326,300.000000,0,0,0,GUROBI,1
3,None,256,216670226.633550,216670226.633550,216670226.633550,218083984.652715,219676747.400000,219676747.400000,0.000004,6.268668,33.239423,33.240047,813,45907,300.000000,0,0,0,GUROBI,1
4,None,256,216670229.709651,216670229.709651,216670229.709651,218139240.229522,219660418.676922,219676776.400000,0.000003,7.234942,31.114317,38.420254,1474,76315,300.000000,0,0,0,GUROBI,1
5,None,256,216670210.921813,216670210.921813,216670210.921813,218068474.324650,219656794.945279,219676772.400000,0.000003,5.651476,42.938097,43.405543,1869,86962,300.000000,0,0,0,GUROBI,1
6,None,256,216670237.697160,216670237.697160,216670237.697160,218115573.321757,219676789.400000,219676789.400000,0.000003,7.315017,10.386316,21.764552,1238,55738,300.000000,0,0,0,GUROBI,1
7,None,256,216670250.486670,216670250.486670,216670250.486670,218195674.602399,219667305.616339,219676827.400000,0.000003,7.734052,53.278487,59.456256,1455,86108,300.000000,0,0,0,GUROBI,1
8,None,256,216670237.186013,216670237.186013,216670237.186013,218048292.846927,219655208.444638,219676806.400000,0.000003,5.416945,46.634412,46.635044,1686,98184,300.000000,0,0,0,GUROBI,1
9,None,256,216670204.586657,216670204.586657,216670204.586657,218098798.272535,219663154.806281,219676767.400000,0.000004,5.533832,31.154286,33.186569,1717,87561,300.000000,0,0,0,GUROBI,1
10,None,256,216670268.413639,216670268.413639,216670268.413639,218132321.288356,219663093.571684,219676834.400000,0.000003,5.677475,37.633679,37.634321,1303,69930,300.000000,0,0,0,GUROBI,1
