instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,64,13.000000,14.000000,14.000000,13.000000,18.000000,18.000000,2.841322,2.877283,2.893273,2.894457,17,457,3600.000000,81,1,21,GUROBI,1
1,Old,64,12.875000,13.916667,13.916667,14.000000,17.875000,17.875000,3.090545,3.219180,3.235745,3.652290,1562,7297,3600.000000,81,2,0,GUROBI,1
2,Old,64,12.875000,14.083333,14.083333,14.125000,17.875000,17.875000,2.812946,2.888029,2.894777,3.224006,1598,7136,3600.000000,81,2,0,GUROBI,1
3,Old,64,12.875000,14.000000,14.000000,14.000000,17.875000,17.875000,3.082656,3.140530,3.156511,3.381136,1451,6479,3600.000000,81,2,0,GUROBI,1
4,Old,64,13.000000,14.083333,14.083333,14.250000,18.000000,18.000000,3.000715,3.085685,3.110773,3.283530,968,4637,3600.000000,81,2,0,GUROBI,1
5,Old,64,13.000000,14.083333,14.083333,14.125000,18.000000,18.000000,2.946172,3.002383,3.013830,3.169168,929,4456,3600.000000,81,2,0,GUROBI,1
6,Old,64,13.000000,14.083333,14.083333,14.125000,18.000000,18.000000,2.923340,2.982851,2.986926,3.179804,1101,5087,3600.000000,81,2,0,GUROBI,1
7,Old,64,12.875000,13.916667,13.916667,14.000000,17.875000,17.875000,3.060033,3.177042,3.206214,3.640010,1618,7291,3600.000000,81,2,0,GUROBI,1
8,Old,64,13.000000,14.125000,14.125000,14.125000,18.000000,18.000000,2.950434,3.051036,3.097733,3.340121,1214,5380,3600.000000,81,2,0,GUROBI,1
9,Old,64,12.875000,13.958333,13.958333,14.000000,17.875000,17.875000,3.208248,3.264934,3.268839,3.554965,1605,7298,3600.000000,81,2,0,GUROBI,1
10,Old,64,12.875000,14.000000,14.000000,14.000000,17.875000,17.875000,3.053351,3.162526,3.235237,3.624328,1622,7139,3600.000000,81,2,0,GUROBI,1
