instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,0.000000,3429.500000,31.166667,5162.000000,5182.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,4.446538,5.737642,4.446538,5.754329,1,5693,3600.000000,4,4,129,GUROBI,1
1,Old,4,-1.500000,3421.500000,26.500000,5171.062500,5174.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,1.921670,3.499914,1.921670,3.515323,1,6251,3600.000000,4,3,0,GUROBI,1
2,Old,4,-5.500000,3419.000000,22.500000,5133.166667,5158.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,1.952901,3.311961,1.952901,3.339237,1,5941,3600.000000,4,3,0,GUROBI,1
3,Old,4,-5.000000,3413.500000,23.000000,5127.397059,5156.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,1.885326,3.166338,1.885326,3.184518,1,5521,3600.000000,4,3,0,GUROBI,1
4,Old,4,-2.000000,3421.500000,25.666667,5169.000000,5174.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,1.938799,3.597987,1.938799,3.613348,1,6859,3600.000000,4,3,0,GUROBI,1
5,Old,4,1.000000,3426.500000,32.000000,5172.266667,5177.000000,5177.000000,2.203525,4.043630,4.050890,4.051724,1,7696,3600.000000,4,5,0,GUROBI,1
6,Old,4,1.000000,3433.000000,34.333333,5171.666667,5177.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,1.958948,3.450819,1.958948,3.455406,1,5737,3600.000000,4,3,0,GUROBI,1
7,Old,4,3.000000,3428.500000,32.000000,5160.104762,5173.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,1.868894,3.354943,1.868894,3.358772,1,5687,3600.000000,4,3,0,GUROBI,1
8,Old,4,1.500000,3427.500000,32.500000,5120.625000,5176.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,1.944056,3.435937,1.944056,3.441059,1,5427,3600.000000,4,3,0,GUROBI,1
9,Old,4,-4.000000,3424.500000,190.365080,5119.250000,5163.000000,5163.000000,2.102548,3.774847,3.796226,3.985927,25,7590,3600.000000,4,4,0,GUROBI,1
10,Old,4,-2.000000,3426.500000,35.250000,5156.000000,5180.000000,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,1.894411,3.290045,1.894411,3.296439,1,5724,3600.000000,4,3,0,GUROBI,1
