instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,618783.684884,618783.684884,618783.684884,632895.730479,764702.121436,764772.000000,0.000003,0.565400,169.860898,169.861107,35998,1510407,3600.000000,0,0,0,GUROBI,1
1,None,64,618755.108630,618755.108630,618755.108630,633679.517561,764910.206657,764938.000000,0.000002,0.540489,194.566172,194.620792,33984,1663692,3600.000000,0,0,0,GUROBI,1
2,None,64,618496.843561,618496.843561,618496.843561,633513.450076,764918.692933,764992.000000,0.000003,0.463308,222.945410,223.031211,42071,1900987,3600.000000,0,0,0,GUROBI,1
3,None,64,618489.885859,618489.885859,618489.885859,629653.940448,764869.033687,764878.000000,0.000003,0.313296,173.159129,173.169191,33891,1518905,3600.000000,0,0,0,GUROBI,1
4,None,64,618583.169155,618583.169155,618583.169155,632347.750231,764669.359080,764722.000000,0.000002,0.486635,164.788859,164.798815,34949,1516030,3600.000000,0,0,0,GUROBI,1
5,None,64,618498.757101,618498.757101,618498.757101,635464.148067,764495.144758,764551.000000,0.000003,0.668602,115.683646,115.683778,23671,1023186,3600.000000,0,0,0,GUROBI,1
6,None,64,618829.308981,618829.308981,618829.308981,631507.305326,764883.842974,764957.000000,0.000002,0.415333,137.158148,137.158278,27180,1164069,3600.000000,0,0,0,GUROBI,1
7,None,64,618183.080116,618183.080116,618183.080116,629607.581980,764716.063022,764786.000000,0.000002,0.345636,167.438158,167.528796,32851,1421789,3600.000000,0,0,0,GUROBI,1
8,None,64,618596.190968,618596.190968,618596.190968,632967.654343,764618.502953,764667.000000,0.000003,0.710022,148.795553,148.834197,32444,1345917,3600.000000,0,0,0,GUROBI,1
9,None,64,618165.381666,618165.381666,618165.381666,631682.982261,764881.954097,764945.000000,0.000003,0.510053,199.940257,199.953068,40253,1918602,3600.000000,0,0,0,GUROBI,1
10,None,64,618567.701649,618567.701649,618567.701649,632872.610700,764708.950396,764781.000000,0.000002,0.547634,163.332217,163.332393,31583,1365211,3600.000000,0,0,0,GUROBI,1
