instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,11.135632,11.269811,11.235043,13.033301,13.750000,13.750000,7.043380,7.179888,7.514739,8.135465,787,10051,3600.000000,16,25,25,GUROBI,1
1,Farkas,16,11.135632,11.269811,11.235043,13.031906,13.749757,13.750000,0.159015,0.251427,1.407619,2.792078,2424,32877,3600.000000,16,25,0,GUROBI,1
2,Farkas,16,10.910632,11.044811,11.010043,12.837933,13.525000,13.525000,0.157938,0.305012,1.841328,1.841421,1834,19166,3600.000000,16,25,0,GUROBI,1
3,Farkas,16,11.096069,11.251015,11.206982,13.050557,13.749002,13.750000,0.160400,0.271658,1.437959,2.655318,2380,30496,3600.000000,16,25,0,GUROBI,1
4,Farkas,16,11.135632,11.269811,11.235043,13.042932,13.750000,13.750000,0.159168,0.317810,1.860469,2.848816,2628,32156,3600.000000,16,25,0,GUROBI,1
5,Farkas,16,11.135632,11.269811,11.235043,13.020481,13.750000,13.750000,0.159456,0.265382,1.138467,2.550554,2490,31992,3600.000000,16,25,0,GUROBI,1
6,Farkas,16,11.135632,11.269811,11.235043,13.201512,13.750000,13.750000,0.159248,0.284001,0.519121,0.573631,396,4625,3600.000000,16,25,0,GUROBI,1
7,Farkas,16,11.135632,11.269811,11.235043,13.201512,13.750000,13.750000,0.159413,0.284434,0.519293,0.574006,396,4625,3600.000000,16,25,0,GUROBI,1
8,Farkas,16,11.135632,11.269811,11.235043,13.033301,13.750000,13.750000,0.158870,0.292193,1.245327,1.357037,813,9516,3600.000000,16,25,0,GUROBI,1
9,Farkas,16,11.135632,11.269811,11.235043,13.033301,13.750000,13.750000,0.159044,0.297600,1.251088,1.564817,976,12259,3600.000000,16,25,0,GUROBI,1
10,Farkas,16,11.135632,11.269811,11.235043,13.033301,13.750000,13.750000,0.159934,0.344374,1.182592,1.532256,992,12331,3600.000000,16,25,0,GUROBI,1
