lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBoundPreVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
4.891112,4.891112,4.891112,45.042252,45.042252,47.044503,69.000000,69.000000,0.009790,2.334205,2.959400,2.334213,2.984724,303.945856,300.000000,None,128,44558,20045
4.891112,4.891112,4.891112,45.042252,45.042252,47.044503,69.000000,69.000000,0.009762,2.328145,2.950969,2.328158,2.976097,301.639200,300.000000,None,128,44807,20108
4.891112,4.891112,4.891112,45.304732,45.304732,47.107297,69.000000,69.000000,0.008869,2.327511,3.766596,2.327526,3.798869,301.938021,300.000000,None,128,49465,18794
-1125.879305,-1125.879305,-1125.879305,-1079.018202,-1079.018202,-1077.430914,-1062.000000,-1062.000000,0.010335,2.122335,2.734779,2.122350,2.762479,301.860593,300.000000,None,128,44716,19153
4.891112,4.891112,4.891112,45.042252,45.042252,47.048678,69.000000,69.000000,0.014909,2.332963,2.956616,2.332965,2.981714,302.508874,300.000000,None,128,44861,20150
4.890784,4.890784,4.890784,46.681807,46.681807,48.078513,68.000000,68.000000,0.009868,2.826857,3.892921,2.826871,3.931022,302.344005,300.000000,None,128,46916,18511
-1560.053132,-1560.053132,-1560.053132,-1517.628051,-1517.628051,-1515.736185,-1497.000000,-1497.000000,0.011220,2.119856,3.381926,2.119868,3.410091,302.849698,300.000000,None,128,40927,19684
-1126.250902,-1126.250902,-1126.250902,-1080.831917,-1080.831917,-1077.984035,-1061.000000,-1061.000000,0.009903,2.393728,2.991576,2.393742,3.011752,301.318499,300.000000,None,128,39850,19097
-1561.081010,-1561.081010,-1561.081010,-1518.977724,-1518.977724,-1516.385529,-1496.000000,-1496.000000,0.014936,2.220699,3.409286,2.220706,3.459156,302.365305,300.000000,None,128,38334,19436
-1561.081010,-1561.081010,-1561.081010,-1517.547870,-1517.547870,-1515.780927,-1496.000000,-1496.000000,0.010073,1.815708,2.853005,1.815722,2.881749,301.653451,300.000000,None,128,40511,19347
-1561.053132,-1561.053132,-1561.053132,-1518.991715,-1518.991715,-1516.563085,-1499.000000,-1499.000000,0.014549,1.692965,2.251826,1.692978,2.273322,301.865371,300.000000,None,128,43117,20023
-1832.486061,-1832.486061,-1832.486061,-1791.289220,-1791.289220,-1789.623367,-1768.000000,-1768.000000,0.011784,2.456613,3.298816,2.456622,3.322513,302.188386,300.000000,None,128,36032,19521
-1666.053132,-1666.053132,-1666.053132,-1624.552103,-1624.552103,-1622.276964,-1604.000000,-1604.000000,0.008922,1.661630,2.754253,1.661647,2.774938,302.082588,300.000000,None,128,33426,18489
4.891112,4.891112,4.891112,44.723730,44.723730,46.927709,69.000000,69.000000,0.011941,2.332287,2.953761,2.332300,2.980234,302.061405,300.000000,None,128,45497,19081
4.891112,4.891112,4.891112,45.042252,45.042252,47.375909,70.000000,70.000000,0.009705,2.362217,3.013386,2.362229,3.038941,302.227173,300.000000,None,128,51725,19508
4.519515,4.519515,4.519515,44.546713,44.546713,46.998990,69.000000,69.000000,0.008775,1.604374,2.230342,1.604388,2.254625,301.584384,300.000000,None,128,52057,18842
4.891112,4.891112,4.891112,44.905890,44.905890,46.451224,68.000000,68.000000,0.007922,2.434331,3.821678,2.434345,3.869278,302.188679,300.000000,None,128,59106,18332
