lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
100.878750,100.878750,100.878750,110.827247,115.622487,122.000000,120.000000,0.102750,0.562300,2.936440,0.562215,3.012144,303.210761,300.000000,None,16,189612,16541
101.343125,101.343125,101.343125,109.086886,114.906737,125.000000,120.000000,0.041055,0.723123,3.318346,0.723127,3.400860,303.413411,300.000000,None,16,164629,17355
100.878750,100.878750,100.878750,110.827247,115.629120,122.000000,120.000000,0.035906,0.489538,2.841623,0.489547,2.917043,302.291674,300.000000,None,16,189894,16575
101.003750,101.003750,101.003750,109.357968,114.390373,127.000000,119.000000,0.042573,0.508559,2.881454,0.508560,2.978050,302.498727,300.000000,None,16,166169,17130
100.878750,100.878750,100.878750,110.827247,115.630619,122.000000,120.000000,0.038608,0.492146,2.841445,0.492148,2.916486,301.756243,300.000000,None,16,190164,16593
100.878750,100.878750,100.878750,110.725473,114.623737,127.000000,122.000000,0.041799,0.504707,2.704510,0.504713,4.649569,301.993015,300.000000,None,16,174420,16284
100.878750,100.878750,100.878750,108.711738,114.634743,122.000000,121.000000,0.035568,0.483350,2.943261,0.483362,3.038145,301.540300,300.000000,None,16,173076,16722
100.631667,100.631667,100.631667,110.113185,113.877269,125.000000,120.000000,0.038676,0.710889,2.947806,0.710901,120.970714,301.835504,300.000000,None,16,155434,18307
101.031250,101.031250,101.031250,110.635116,114.803280,129.000000,120.000000,0.042294,0.617275,3.397893,0.617280,3.769074,304.297890,300.000000,None,16,173593,16717
101.678750,101.678750,101.678750,110.480788,114.725841,128.000000,121.000000,0.040883,0.568422,2.450609,0.568427,3.062371,301.300456,300.000000,None,16,156250,16200
101.561250,101.561250,101.561250,111.067491,116.557850,126.000000,121.000000,0.036382,0.574956,2.947031,0.574958,3.023807,301.524408,300.000000,None,16,174360,17168
