instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,183975.539693,183975.539693,183975.539693,186563.403655,186563.403655,188182.000000,188182.000000,0.338855,3.802166,4.574144,3.802035,3.801982,4.579767,1200.000000,None,16,488,0,0
1,182999.979940,182999.979940,182999.979940,186325.882803,186325.882803,189454.700000,188149.000000,0.034205,0.887006,2.550840,0.887012,21.956679,21.958322,1200.000000,None,16,17219,841,0
2,182035.791449,182035.791449,182035.791449,185006.803314,185006.803314,186672.100000,186672.100000,0.033392,2.981120,6.204488,2.981128,2.981126,6.216424,1200.000000,None,16,1373,0,0
3,182043.968054,182043.968054,182043.968054,185536.775279,185536.775279,187600.700000,186794.000000,0.032491,2.005623,2.903566,2.005632,3.459672,3.747688,1200.000000,None,16,753,2,0
4,182783.259527,182783.259527,182783.259527,185965.358370,188010.100000,188010.100000,188010.100000,0.032158,2.478528,4.763277,2.478540,4.960857,9.856591,1200.000000,None,16,5270,202,0
5,184310.443333,184310.443333,184310.443333,187679.217372,187679.217372,188665.300000,188665.300000,0.036173,2.458200,7.210064,2.458216,2.458215,7.223869,1200.000000,None,16,1799,0,0
6,183631.402272,183631.402272,183631.402272,186892.415609,186892.415609,189392.500000,188772.300000,0.031182,1.777531,4.015192,1.777546,9.647303,9.651486,1200.000000,None,16,4270,185,0
7,179390.224702,179390.224702,179390.224702,181588.826829,183978.900000,183978.900000,183978.900000,0.032993,3.118253,3.912550,3.118269,4.033766,13.683711,1200.000000,None,16,9118,446,0
8,181412.385261,181412.385261,181412.385261,184519.132010,184519.132010,186805.600000,186338.500000,0.033059,2.511600,3.941193,2.511612,10.640902,10.645076,1200.000000,None,16,4406,254,0
9,184455.180606,184455.180606,184455.180606,187314.698678,187314.698678,189068.700000,189068.700000,0.034809,2.318865,2.764899,2.318875,2.318874,2.770619,1200.000000,None,16,277,0,0
10,183000.608758,183000.608758,183000.608758,186259.707625,186259.707625,189321.200000,188101.800000,0.033813,1.228816,5.195997,1.228828,5.915207,41.150907,1200.000000,None,16,29373,2254,0
