instanceIndex,primalBounds,dualBounds,times
0,188182.000000,186563.403655,4.687479
1,176387.600000,174352.001038,3.192285
1,176387.600000,174352.001038,3.397003
1,176387.600000,174352.001038,3.472069
1,176387.600000,174352.001038,3.557028
1,176387.600000,174352.001038,3.623603
1,176387.600000,174352.001038,3.657480
1,176387.600000,174352.001038,3.695257
1,176387.600000,174352.001038,3.695840
1,176387.600000,174352.001038,3.725386
1,176387.600000,174352.001038,3.740584
1,176387.600000,174352.001038,3.762994
1,176387.600000,174352.001038,3.777699
1,176387.600000,174352.001038,3.794359
1,176387.600000,174352.001038,3.801583
1,176387.600000,174352.001038,3.807462
1,176387.600000,174352.001038,3.823317
1,176387.600000,174352.001038,3.828620
1,176387.600000,174352.001038,3.844514
1,176387.600000,174352.001038,3.850929
1,176387.600000,174352.001038,3.867181
1,176387.600000,174352.001038,3.872499
1,176387.600000,174352.001038,3.879433
1,176387.600000,174352.001038,3.935342
1,176387.600000,174352.001038,3.943393
1,176387.600000,174352.001038,3.997752
1,176387.600000,174352.001038,4.002509
1,176387.600000,174352.001038,4.003054
1,176387.600000,174352.001038,4.073162
1,176387.600000,174352.001038,4.100064
1,176387.600000,174352.001038,4.124361
1,176387.600000,174352.001038,4.130503
1,176387.600000,174352.001038,4.136238
1,176387.600000,174352.001038,4.144661
1,176387.600000,174352.001038,4.159529
1,176387.600000,174352.001038,4.255325
1,176387.600000,174352.001038,4.375632
1,176387.600000,174352.001038,4.507627
1,176387.600000,174352.001038,4.552913
1,176387.600000,174352.001038,4.567972
1,176387.600000,174352.001038,4.598321
1,176387.600000,174352.001038,4.639516
1,176387.600000,174352.001038,4.692617
1,176387.600000,174352.001038,4.726199
1,176387.600000,174352.001038,4.734780
1,176387.600000,174352.001038,4.745192
1,176387.600000,174352.001038,4.757017
1,176387.600000,174352.001038,4.770881
1,176387.600000,174352.001038,4.841634
1,176387.600000,174352.001038,4.866669
1,176387.600000,174352.001038,4.926648
1,176387.600000,174352.001038,5.019888
1,176387.600000,174352.001038,5.045940
1,176387.600000,174352.001038,5.053293
1,176387.600000,174352.001038,5.120040
1,176387.600000,174352.001038,5.143649
1,176387.600000,174352.001038,5.150840
1,176387.600000,174352.001038,5.168847
1,176387.600000,174352.001038,5.174609
1,176387.600000,174352.001038,5.185252
1,176387.600000,174352.001038,5.194847
1,176375.500000,174352.001038,5.219645
1,176375.500000,174352.001038,5.231046
1,176375.500000,174352.001038,5.256456
1,176375.500000,174352.001038,5.281136
1,176375.500000,174352.001038,5.288188
1,176375.500000,174352.001038,5.293556
1,176375.500000,174352.001038,5.307783
1,176375.500000,174352.001038,5.321267
1,176375.500000,174352.001038,5.377324
1,176375.500000,174352.001038,5.436971
1,176375.500000,174352.001038,5.461346
1,176375.500000,174352.001038,5.468659
1,176375.500000,174352.001038,5.530421
1,176375.500000,174352.001038,5.554016
1,176375.500000,174352.001038,5.561040
1,176375.500000,174352.001038,5.578227
1,176375.500000,174352.001038,5.583722
1,176375.500000,174352.001038,5.593760
1,176375.500000,174352.001038,5.598719
1,176375.500000,174352.001038,5.605556
1,176375.500000,174352.001038,5.617630
1,176375.500000,174352.001038,5.650187
1,176375.500000,174352.001038,5.677103
1,176375.500000,174352.001038,5.682537
1,176375.500000,174352.001038,5.695985
1,176375.500000,174352.001038,5.696517
1,176375.500000,174352.001038,5.709358
1,176375.500000,174352.001038,5.735973
1,176375.500000,174352.001038,5.764930
1,176375.500000,174352.001038,5.774545
1,176375.500000,174352.001038,5.857498
1,176375.500000,174352.001038,5.864391
1,176375.500000,174352.001038,5.881831
1,176375.500000,174352.001038,5.887784
1,176375.500000,174352.001038,5.898879
1,176375.500000,174352.001038,5.903448
1,176375.500000,174352.001038,5.912186
1,176375.500000,174352.001038,5.917248
1,176375.500000,174352.001038,5.923557
1,176375.500000,174352.001038,5.949768
1,176375.500000,174352.001038,5.958168
1,176375.500000,174352.001038,6.023299
1,176375.500000,174352.001038,6.041445
1,176375.500000,174352.001038,6.049258
1,176375.500000,174352.001038,6.065820
1,176375.500000,174352.001038,6.071489
1,176375.500000,174352.001038,6.082395
1,176375.500000,174352.001038,6.086924
1,176375.500000,174352.001038,6.095518
1,176375.500000,174352.001038,6.100640
1,176375.500000,174352.001038,6.107454
1,176375.500000,174352.001038,6.121663
1,176375.500000,174352.001038,6.134681
1,176375.500000,174352.001038,6.182995
1,176375.500000,174352.001038,6.246207
1,176375.500000,174352.001038,6.288530
1,176375.500000,174352.001038,6.331251
1,176375.500000,174352.001038,6.378535
1,176375.500000,174352.001038,6.476373
1,176375.500000,174352.001038,6.548556
1,176375.500000,174352.001038,6.584172
1,176375.500000,174352.001038,6.629377
1,176375.500000,174352.001038,6.700941
1,176375.500000,174352.001038,6.802970
1,176375.500000,174352.001038,6.843907
1,176375.500000,174352.001038,6.882824
1,176375.500000,174352.001038,6.909013
1,176375.500000,174352.001038,6.918700
1,176375.500000,174352.001038,6.926958
1,176375.500000,174352.001038,6.935649
1,176375.500000,174352.001038,6.964014
1,176375.500000,174352.001038,6.970446
1,176375.500000,174352.001038,6.978908
1,176375.500000,174352.001038,6.989300
1,176375.500000,174352.001038,7.027322
1,176375.500000,174352.001038,7.065647
1,176375.500000,174352.001038,7.088181
1,176375.500000,174352.001038,7.094610
1,176375.500000,174352.001038,7.102290
1,176375.500000,174352.001038,7.118740
1,176375.500000,174352.001038,7.127480
1,176375.500000,174352.001038,7.161377
1,176375.500000,174352.001038,7.166808
1,176375.500000,174352.001038,7.176234
1,176375.500000,174352.001038,7.231090
1,176375.500000,174352.001038,7.243858
1,176375.500000,174352.001038,7.270298
1,176375.500000,174352.001038,7.299501
1,176375.500000,174352.001038,7.330587
1,176375.500000,174352.001038,7.386711
1,176375.500000,174352.001038,7.405635
1,176375.500000,174352.001038,7.414272
1,176375.500000,174352.001038,7.438257
1,176375.500000,174352.001038,7.445028
1,176375.500000,174352.001038,7.450115
1,176375.500000,174352.001038,7.455922
1,176375.500000,174352.001038,7.485860
1,176375.500000,174352.001038,7.543943
1,176375.500000,174352.001038,7.577066
1,176375.500000,174352.001038,7.587940
1,176375.500000,174352.001038,7.620578
1,176375.500000,174352.001038,7.675247
1,176375.500000,174352.001038,7.682189
1,176375.500000,174352.001038,7.736876
1,176375.500000,174352.001038,7.788782
1,176375.500000,174352.001038,7.800536
1,176375.500000,174352.001038,7.825846
1,176375.500000,174352.001038,7.836963
1,176375.500000,174352.001038,7.889588
1,176375.500000,174352.001038,7.929320
1,176375.500000,174352.001038,7.939586
1,176375.500000,174352.001038,7.965700
1,176375.500000,174352.001038,7.974549
1,176375.500000,174352.001038,7.981439
1,176375.500000,174352.001038,7.997674
1,176375.500000,174352.001038,8.010999
1,176375.500000,174352.001038,8.039291
1,176375.500000,174352.001038,8.070693
1,176375.500000,174352.001038,8.174622
1,176375.500000,174352.001038,8.184020
1,176375.500000,174352.001038,8.192261
1,176375.500000,174352.001038,8.199883
1,176375.500000,174352.001038,8.216646
1,176375.500000,174352.001038,8.221568
1,176375.500000,174352.001038,8.237162
1,176375.500000,174352.001038,8.243050
1,176375.500000,174352.001038,8.259039
1,176375.500000,174352.001038,8.264303
1,176375.500000,174352.001038,8.270353
1,176375.500000,174352.001038,8.279549
1,176375.500000,174352.001038,8.296286
1,176375.500000,174352.001038,8.314591
1,176375.500000,174352.001038,8.333274
1,176375.500000,174352.001038,8.460801
1,176375.500000,174352.001038,8.478546
1,176375.500000,174352.001038,8.539320
1,176375.500000,174352.001038,8.677047
1,176375.500000,174352.001038,8.686537
1,176375.500000,176375.500000,8.686741
2,181856.500000,179431.098190,3.756325
2,181759.500000,179431.098190,3.998246
2,181759.500000,179431.098190,4.106766
2,181759.500000,179431.098190,4.215424
2,181759.500000,179431.098190,4.222963
2,181759.500000,179431.098190,4.263881
2,181759.500000,179431.098190,4.279507
2,181759.500000,179431.098190,4.301631
2,181759.500000,179431.098190,4.323244
2,181759.500000,179431.098190,4.338966
2,181759.500000,179431.098190,4.343581
2,181759.500000,179431.098190,4.348108
2,181759.500000,179431.098190,4.426964
2,181759.500000,179431.098190,4.503764
2,181759.500000,179431.098190,4.527839
2,181759.500000,179431.098190,4.545656
2,181759.500000,179431.098190,4.586985
2,181759.500000,179431.098190,4.592504
2,181759.500000,179431.098190,4.597528
2,181759.500000,179431.098190,4.603584
2,181759.500000,179431.098190,4.622162
2,181759.500000,179431.098190,4.629380
2,181759.500000,179431.098190,4.647727
2,181759.500000,179431.098190,4.666513
2,181759.500000,179431.098190,4.673017
2,181759.500000,179431.098190,4.704720
2,181759.500000,179431.098190,4.769985
2,181759.500000,179431.098190,4.783452
2,181759.500000,179431.098190,4.789403
2,181759.500000,179431.098190,4.812468
2,181759.500000,179431.098190,4.816766
2,181759.500000,179431.098190,4.817288
2,181759.500000,179431.098190,4.822748
2,181759.500000,179431.098190,4.830017
2,181759.500000,179431.098190,4.842746
2,181759.500000,179431.098190,4.848922
2,181759.500000,179431.098190,4.859409
2,181759.500000,179431.098190,4.867759
2,181759.500000,179431.098190,4.874853
2,181759.500000,179431.098190,4.884114
2,181759.500000,179431.098190,4.903891
2,181759.500000,179431.098190,4.908293
2,181759.500000,179431.098190,4.912080
2,181759.500000,179431.098190,4.941310
2,181759.500000,179431.098190,4.947345
2,181759.500000,179431.098190,4.954954
2,181759.500000,179431.098190,5.032651
2,181759.500000,179431.098190,5.084966
2,181759.500000,179431.098190,5.119771
2,181759.500000,179431.098190,5.155603
2,181759.500000,179431.098190,5.176294
2,181759.500000,179431.098190,5.197449
2,181759.500000,179431.098190,5.250673
2,181759.500000,179431.098190,5.267873
2,181759.500000,179431.098190,5.286300
2,181759.500000,179431.098190,5.293526
2,181759.500000,179431.098190,5.307884
2,181759.500000,179431.098190,5.320942
2,181759.500000,179431.098190,5.333379
2,181759.500000,179431.098190,5.344201
2,181759.500000,179431.098190,5.353518
2,181759.500000,179431.098190,5.361654
2,181759.500000,179431.098190,5.370977
