lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
38893.903641,38962.268924,38956.149375,38956.149375,39358.375006,40560.054142,40005.054142,7.267249,7.701669,7.728127,7.701579,280.809947,300.682937,300.000000,New,16,291840,50536
38893.646254,38961.993093,38955.860504,38955.860504,39359.208788,40559.054142,40004.054142,6.470011,6.901076,6.927344,6.901079,284.866252,300.716785,300.000000,New,16,292890,50912
26510.964113,26581.692254,26577.668026,26577.668026,27093.422873,28595.617817,27638.054162,6.494234,7.585151,7.617566,7.585166,229.070218,300.676522,300.000000,New,16,327299,53072
38894.367464,38962.751587,38960.097576,38960.097576,39374.484616,40561.054142,40006.054142,6.585112,7.010423,7.038407,7.010428,156.633210,300.674477,300.000000,New,16,304415,50050
51686.345182,51733.641278,51727.762134,51727.762134,52014.976944,54756.387825,52873.066602,6.456113,7.147499,7.181308,7.147503,9.509934,300.779945,300.000000,New,16,310516,54205
45253.010849,45301.868072,45296.400346,45296.400346,45627.903643,47337.610470,46438.912253,6.386229,7.168511,7.196561,7.168513,7.202735,300.726763,300.000000,New,16,290566,51838
38893.294567,38961.624287,38955.505502,38955.505502,39358.392618,40559.141700,40004.141700,6.464078,6.892096,6.918319,6.892109,272.404110,300.608510,300.000000,New,16,292961,51010
38893.442891,38961.804576,38955.682053,38955.682053,39360.672267,40560.054142,40005.054142,6.507103,6.930026,6.956189,6.930038,283.389753,300.735059,300.000000,New,16,291989,51057
26511.178608,26581.932392,26577.903938,26577.903938,27114.831727,28593.617817,27638.141720,6.266593,7.378591,7.412656,7.378597,181.043913,300.654277,300.000000,New,16,302524,50082
51687.033613,51734.123782,51728.310538,51728.310538,52014.104764,54752.387825,52728.123829,6.400231,7.081757,7.114867,7.081762,291.918215,300.724771,300.000000,New,16,298108,54035
38893.310241,38961.638975,38955.507392,38955.507392,39358.824166,40559.141700,40004.141700,6.480225,6.909763,6.936050,6.909765,233.186145,300.686621,300.000000,New,16,291014,50742
