lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
33.845278,34.625000,33.845278,34.865233,34.865233,37.000000,37.000000,275.342378,275.779862,277.464353,275.779819,277.504074,300.023872,300.000000,New,64,16343,1719,66
33.928611,34.092500,33.942167,34.863071,34.863071,37.000000,37.000000,289.653584,290.188735,290.993914,290.188740,291.044716,300.012966,300.000000,Old,64,7464,613,66
33.845278,34.009167,33.845278,34.957386,35.917888,37.000000,37.000000,41.003586,41.389070,43.092730,41.389070,43.136069,300.255737,300.000000,Old,64,126270,18714,66
33.845278,34.009167,33.845278,35.086794,35.702835,37.000000,37.000000,44.621631,44.995772,46.026930,44.995777,46.076784,300.294890,300.000000,Old,64,116822,18568,66
33.845278,34.009167,33.845278,35.032924,35.753750,37.000000,37.000000,38.148338,39.334216,40.999820,39.334219,41.061871,300.266519,300.000000,Old,64,122813,18892,66
33.828333,34.009167,33.828333,35.128485,35.777570,37.000000,37.000000,24.671235,25.465341,26.826363,25.465344,26.894247,300.274778,300.000000,Old,64,145033,18491,66
33.928611,34.092500,33.928611,34.967217,35.891249,37.000000,37.000000,39.107643,39.611349,41.100779,39.611351,41.153151,300.245344,300.000000,Old,64,135626,18284,66
33.845278,34.009167,33.845278,35.097036,35.797714,37.000000,37.000000,41.966304,42.687488,43.852237,42.687489,43.903401,300.207101,300.000000,Old,64,136092,18448,66
33.914444,34.050833,33.914444,34.738563,35.667401,37.000000,37.000000,44.901543,45.644196,47.396048,45.644211,47.448490,300.270722,300.000000,Old,64,129738,16861,66
33.761944,33.925833,34.406500,34.960932,35.729062,37.000000,37.000000,41.630874,42.040638,43.577248,42.040646,43.601471,300.236349,300.000000,Old,64,127131,18544,66
