lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
134.915590,138.780625,135.137105,144.680310,144.680310,154.000000,148.000000,153.545671,154.639934,157.440062,154.639949,173.589769,300.061730,300.000000,New,64,82884,5128,78
134.983523,139.080804,134.983523,134.983523,134.983523,0.000000,100000000000000007629769841091887003294964970946560.000000,430.467997,0.000000,430.492888,0.000000,0.000000,430.492868,300.000000,New,64,0,0,74
134.915590,138.685781,134.915590,134.915590,134.915590,0.000000,100000000000000007629769841091887003294964970946560.000000,339.004538,0.000000,339.026501,0.000000,0.000000,339.026492,300.000000,New,64,0,0,81
134.942585,139.051250,137.145793,142.811538,142.811538,152.000000,148.000000,190.974735,192.023500,195.173383,192.023514,195.895788,300.097964,300.000000,New,64,53133,2951,81
135.426204,138.942500,135.720091,144.742957,144.742957,153.000000,150.000000,121.098752,123.182125,126.479139,123.182128,129.623640,300.111677,300.000000,New,64,90581,6300,77
134.915590,138.426563,135.509555,134.915590,134.915590,0.000000,100000000000000007629769841091887003294964970946560.000000,435.888368,0.000000,435.913181,0.000000,0.000000,435.913173,300.000000,New,64,0,0,71
134.047115,138.493750,134.358193,134.047115,134.047115,0.000000,100000000000000007629769841091887003294964970946560.000000,327.548756,0.000000,327.570086,0.000000,0.000000,327.570080,300.000000,New,64,0,0,76
134.907507,139.094375,134.907507,145.461445,145.461445,152.000000,148.000000,109.211530,110.305363,113.214757,110.305375,122.210949,300.034407,300.000000,New,64,131023,5045,76
134.434375,138.834722,134.434375,144.281378,144.281378,152.000000,148.000000,120.644586,121.575340,124.396867,121.575344,124.956789,300.067469,300.000000,New,64,121867,5265,85
134.915590,138.576563,135.018759,145.000486,145.000486,154.000000,148.000000,273.302925,274.329014,277.745502,274.329019,277.830517,300.031414,300.000000,New,64,11162,491,78
