lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
94.216250,96.892500,94.644072,102.880279,105.390600,115.000000,109.000000,6.695187,7.176358,8.615607,7.176245,21.747549,300.267464,300.000000,New,16,166960,18190,16
93.753750,96.417917,94.738950,101.232429,102.653080,114.000000,108.000000,3.679521,4.167352,6.244776,4.167364,64.994212,300.220414,300.000000,Old,16,156939,15026,16
93.742500,96.271250,94.818069,101.477094,104.128949,111.000000,110.000000,4.380797,4.903676,6.443329,4.903679,39.491010,300.356475,300.000000,Old,16,154516,16341,16
94.091250,96.642500,94.518412,102.800911,105.433114,111.000000,108.000000,4.197802,4.892325,6.860729,4.892330,69.141707,300.264344,300.000000,Old,16,172441,19359,16
94.216250,96.892500,95.199125,103.069279,105.509431,114.000000,108.000000,4.178836,4.761100,5.616216,4.761102,77.405459,300.283095,300.000000,Old,16,178371,16812,16
93.841250,96.392500,94.824125,101.146895,103.901461,115.000000,107.000000,4.556935,5.060122,7.186183,5.060123,9.810329,300.308355,300.000000,Old,16,147377,18075,16
94.216250,96.771250,95.263500,101.700122,103.920429,110.000000,107.000000,3.380937,3.871615,5.717016,3.871617,5.801455,300.260947,300.000000,Old,16,185673,16953,16
93.128750,95.739167,94.111625,99.632696,102.031282,111.000000,105.000000,4.728285,5.238028,7.482059,5.238033,243.679560,300.241657,300.000000,Old,16,191398,15928,16
93.937500,96.696250,94.381575,100.091117,103.553721,115.000000,108.000000,4.450532,4.884584,6.329839,4.884587,13.148308,300.264382,300.000000,Old,16,167613,18775,16
93.897500,96.153594,94.395912,103.053968,105.497546,115.000000,110.000000,3.787711,4.371262,6.519186,4.371266,6.573175,300.224521,300.000000,Old,16,168656,18231,16
93.888750,96.610000,94.353575,99.951629,103.318750,112.000000,106.000000,4.688345,5.140355,7.020700,5.140361,12.650274,300.287405,300.000000,Old,16,164443,18668,16
