lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
100.878750,104.495000,103.333068,111.049648,116.044700,122.000000,120.000000,99.390834,99.848656,102.200836,99.848660,116.627370,300.221438,300.000000,New,64,108894,12977,81
100.878750,104.495000,103.333068,111.049648,116.042957,122.000000,120.000000,99.376242,99.827396,102.181205,99.827398,116.600544,300.133074,300.000000,New,64,108858,12974,81
100.878750,104.912500,102.056688,109.590284,114.364511,122.000000,120.000000,33.702297,34.325660,36.556065,34.325672,251.457143,300.227977,300.000000,New,64,138501,15242,82
100.885000,104.998750,101.154247,113.700095,116.196777,129.000000,122.000000,108.938868,109.359167,111.657392,109.359173,115.386120,300.123318,300.000000,New,64,120903,11657,86
100.878750,104.495000,103.333068,111.049648,116.041641,122.000000,120.000000,99.567436,100.020085,102.375809,100.020090,116.790636,300.179309,300.000000,New,64,108790,12969,81
101.085000,104.717500,102.394913,109.120710,114.437601,126.000000,119.000000,72.694526,73.121372,75.472529,73.121386,77.128439,300.182418,300.000000,New,64,135856,13328,78
100.955000,104.723750,101.413075,109.475632,113.403255,124.000000,121.000000,41.230289,41.751782,44.259386,41.751798,82.946772,300.224996,300.000000,New,64,139747,13927,81
100.878750,104.495000,103.333068,111.049648,116.041641,122.000000,120.000000,99.675965,100.128918,102.496805,100.128928,116.931033,300.212091,300.000000,New,64,108734,12965,81
100.878750,104.495000,103.333068,110.666916,114.195521,122.000000,119.000000,98.341612,98.794670,101.200460,98.794675,101.288314,300.154804,300.000000,New,64,131508,12095,81
100.878750,104.495000,103.333068,111.049648,116.041110,122.000000,120.000000,99.840957,100.294820,102.659026,100.294833,117.099086,300.194429,300.000000,New,64,108604,12954,81
100.878750,105.111875,104.995586,109.616517,113.638093,126.000000,123.000000,91.919404,92.584842,95.151697,92.584854,95.259854,300.215479,300.000000,New,64,108675,12558,78
