lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
-100.000000,-100.000000,-100.000000,-82.392385,-82.392385,-47.000000,-56.000000,0.021032,0.506155,9.577176,0.506185,9.768993,300.279651,300.000000,None,4,114021,9822
-100.000000,-100.000000,-100.000000,-84.175026,-64.657058,-47.000000,-56.000000,0.023967,0.527468,9.995273,0.527498,10.159003,300.483033,300.000000,None,4,122378,11241
-100.000000,-100.000000,-100.000000,-82.819658,-82.819658,-47.000000,-56.000000,0.021911,0.484450,9.562602,0.484465,9.774118,300.177428,300.000000,None,4,119938,10362
-100.000000,-100.000000,-100.000000,-82.861502,-82.861502,-46.000000,-56.000000,0.026160,0.545448,9.968620,0.545452,10.177781,301.186867,300.000000,None,4,118894,9942
-100.000000,-100.000000,-100.000000,-82.604454,-82.604454,-47.000000,-55.000000,0.024503,0.489332,10.018624,0.489337,10.142830,300.229486,300.000000,None,4,112458,10494
-100.000000,-100.000000,-100.000000,-82.426671,-63.874272,-47.000000,-56.000000,0.024220,0.502930,9.638300,0.502939,9.746253,301.131674,300.000000,None,4,124537,11082
-100.000000,-100.000000,-100.000000,-82.805193,-62.362066,-47.000000,-56.000000,0.023427,0.493538,9.663667,0.493546,10.828880,302.509058,300.000000,None,4,137233,11599
-100.000000,-100.000000,-100.000000,-82.472558,-82.472558,-47.000000,-56.000000,0.024121,0.485244,10.134720,0.485251,10.376226,302.388851,300.000000,None,4,119334,10224
-100.000000,-100.000000,-100.000000,-82.356193,-82.356193,-47.000000,-56.000000,0.025585,0.482211,9.889641,0.482219,10.076706,300.189858,300.000000,None,4,117033,9460
-100.000000,-100.000000,-100.000000,-82.230600,-82.230600,-47.000000,-57.000000,0.024932,0.494377,9.962929,0.494386,10.193089,300.276072,300.000000,None,4,123385,10689
-100.000000,-100.000000,-100.000000,-82.436739,-82.436739,-47.000000,-56.000000,0.024818,0.498761,10.063295,0.498769,10.243351,300.254350,300.000000,None,4,118647,10260
