lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
11.724138,13.500000,13.132075,0.000000,11.724138,0.000000,100000000000000007629769841091887003294964970946560.000000,314.718126,0.000000,0.000000,0.000000,0.000000,314.734071,300.000000,New,4,0,0
0.000000,10.358824,10.208465,12.024722,12.024722,40.643902,32.026506,0.996204,7.555913,11.834294,7.555931,115.792045,300.025557,300.000000,Farkas,4,339818,2351
0.000000,10.142857,9.433005,10.966644,10.966644,35.333333,30.426230,1.085546,8.573311,17.094498,8.573317,23.429868,300.052764,300.000000,Farkas,4,326499,2185
0.000000,11.571429,10.600363,11.530676,11.530676,48.432041,44.740992,0.842779,6.308391,7.963035,6.308405,9.997934,300.051562,300.000000,Farkas,4,384744,3037
0.000000,10.001978,9.928571,11.238857,11.238857,49.500000,27.529459,1.021003,5.246582,10.285990,5.246594,293.302873,300.045611,300.000000,Farkas,4,363179,2543
0.000000,10.143848,9.667778,11.675264,11.675264,59.969697,37.593750,0.944712,6.536040,16.414222,6.536048,16.880136,300.089638,300.000000,Farkas,4,356117,2536
0.000000,11.169159,10.707509,11.790004,11.790004,34.318880,24.448944,0.848136,6.800768,10.512229,6.800773,10.796905,300.158461,300.000000,Farkas,4,311922,2445
0.000000,13.272727,10.933345,12.670221,13.545506,66.818182,49.779392,1.117408,5.018972,6.543921,5.018977,139.375463,300.048932,300.000000,Farkas,4,319887,2959
0.000000,11.874857,10.972327,13.154747,13.154747,42.287425,40.411745,0.955365,9.113848,18.599879,9.113850,19.214896,300.098703,300.000000,Farkas,4,380320,2115
0.000000,11.475682,11.363591,12.573099,12.573099,33.138979,24.682364,0.925294,10.112287,12.420078,10.112301,132.161685,300.023151,300.000000,Farkas,4,342652,2651
