lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
1167185.725592,1170620.000000,1170620.000000,1172518.723050,1201500.000000,100000000000000007629769841091887003294964970946560.000000,1201500.000000,1.206702,1.245808,1.344368,1.523370,0.000000,1.755279,300.000000,New,4,767,256
769557.000000,1167224.617026,1170541.732316,1172020.423267,1200341.000000,100000000000000007629769841091887003294964970946560.000000,1200341.000000,0.018131,0.026596,0.077122,0.233869,0.000000,0.542498,300.000000,Farkas,4,725,304
769500.000000,1167109.291777,1170391.120000,1172140.898367,1203032.000000,100000000000000007629769841091887003294964970946560.000000,1203032.000000,0.013819,0.022446,0.063601,0.226913,0.000000,0.414915,300.000000,Farkas,4,562,188
769500.000000,1167306.319317,1170740.333333,1172343.757641,1200416.000000,100000000000000007629769841091887003294964970946560.000000,1200416.000000,0.014153,0.022620,0.045130,0.136903,0.000000,0.926166,300.000000,Farkas,4,1179,468
769329.000000,1167041.091154,1170437.069354,1172165.643844,1200155.000000,100000000000000007629769841091887003294964970946560.000000,1200155.000000,0.020127,0.028594,0.108848,0.272467,0.000000,0.572744,300.000000,Farkas,4,792,252
769500.000000,1167265.556185,1170700.333333,1172458.806511,1201578.000000,100000000000000007629769841091887003294964970946560.000000,1201578.000000,0.011158,0.019606,0.100527,0.196521,0.000000,0.633138,300.000000,Farkas,4,981,314
769386.000000,1168491.114090,1171865.066667,1173309.686000,1202132.000000,100000000000000007629769841091887003294964970946560.000000,1202132.000000,0.017353,0.026530,0.069169,0.249772,0.000000,0.592898,300.000000,Farkas,4,763,282
769386.000000,1167055.925245,1170389.000000,1172286.191441,1201369.000000,100000000000000007629769841091887003294964970946560.000000,1201369.000000,0.011840,0.022425,0.103539,0.347671,0.000000,0.816881,300.000000,Farkas,4,1073,400
769443.000000,1167058.813828,1170338.666667,1171968.612675,1201170.000000,100000000000000007629769841091887003294964970946560.000000,1201170.000000,0.016801,0.025394,0.067181,0.161040,0.000000,0.617284,300.000000,Farkas,4,886,312
769557.000000,1165922.289233,1169220.672093,1171271.205190,1201306.000000,100000000000000007629769841091887003294964970946560.000000,1201306.000000,0.014424,0.023048,0.111939,0.223852,0.000000,0.396531,300.000000,Farkas,4,631,156
769614.000000,1165904.175892,1169485.652263,1171096.987806,1201081.000000,100000000000000007629769841091887003294964970946560.000000,1201081.000000,0.013272,0.022900,0.094429,0.175782,0.000000,1.039970,300.000000,Farkas,4,1385,428
