lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
-9505.628173,-9505.438526,-9505.450310,-9505.277598,-9500.396078,100000000000000007629769841091887003294964970946560.000000,-9402.759588,1.894322,1.918690,2.041483,2.408562,12.283899,309.231823,300.000000,New,4,251344,91604
0.000000,-9553.617681,-9553.685831,-9552.156851,-9546.473301,-9382.153883,-9510.857718,0.183768,0.334423,0.414926,0.334427,120.768895,311.828828,300.000000,Farkas,4,390564,124812
0.000000,-9541.225982,-9541.374767,-9540.894942,-9536.571104,-9319.298711,-9443.241792,0.183706,0.362901,0.468802,0.362904,0.525363,311.646876,300.000000,Farkas,4,338980,141638
0.000000,-9576.247626,-9576.298753,-9575.039536,-9567.305557,100000000000000007629769841091887003294964970946560.000000,-9506.351208,0.186400,0.199380,0.271646,0.275304,307.380487,313.847327,300.000000,Farkas,4,365078,154343
0.000000,-9510.823279,-9510.823279,-9509.315187,-9501.762939,-9347.165751,-9441.197421,0.182535,0.344411,0.460619,0.344414,223.391993,312.181658,300.000000,Farkas,4,374329,147618
0.000000,-9481.047325,-9481.047325,-9479.737283,-9471.154471,-9320.373060,-9364.580277,0.191718,0.346625,0.462128,0.346626,285.073080,313.097576,300.000000,Farkas,4,350564,146226
0.000000,-9512.229218,-9512.305960,-9511.788029,-9507.492611,100000000000000007629769841091887003294964970946560.000000,-9449.626278,0.176964,0.193894,0.277479,0.516788,255.456299,310.978076,300.000000,Farkas,4,356167,130448
0.000000,-9536.834152,-9536.834152,-9536.637390,-9532.142041,100000000000000007629769841091887003294964970946560.000000,-9459.369377,0.178012,0.194140,0.254665,0.259199,132.573969,311.539773,300.000000,Farkas,4,360014,137311
0.000000,-9567.372311,-9567.372311,-9566.088288,-9557.018652,-9336.859923,-9467.120853,0.193146,0.392612,0.493822,0.392614,0.525469,312.379304,300.000000,Farkas,4,355447,142265
0.000000,-9492.360412,-9492.360412,-9491.237790,-9481.229505,-9301.551104,-9403.810278,0.188245,0.349731,0.482873,0.349733,16.315397,311.496826,300.000000,Farkas,4,346685,146652
0.000000,-9536.647883,-9536.647883,-9535.675408,-9532.578363,100000000000000007629769841091887003294964970946560.000000,-9501.077685,0.176879,0.193609,0.284363,0.332799,0.332794,308.771205,300.000000,Farkas,4,565355,205160
