lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
-9505.628173,-9505.628173,-9505.628173,-9505.401765,-9500.074049,100000000000000007629769841091887003294964970946560.000000,-9416.311395,0.094429,0.511084,1.009459,1.335321,206.673567,314.063808,300.000000,None,64,342372,121361
-9502.404778,-9502.404778,-9502.404778,-9501.077392,-9496.516519,100000000000000007629769841091887003294964970946560.000000,-9429.047092,0.008510,0.030900,0.140782,0.213958,2.746484,302.547419,300.000000,None,64,347078,121238
-9491.675970,-9491.675970,-9491.675970,-9490.921192,-9486.355944,100000000000000007629769841091887003294964970946560.000000,-9417.325528,0.004845,0.032576,0.192246,0.199165,245.922847,303.005603,300.000000,None,64,348700,125988
-9492.218909,-9492.218909,-9492.218909,-9491.744116,-9487.313103,-9326.465215,-9423.695119,0.007258,0.142113,0.221397,0.142119,102.760683,302.626714,300.000000,None,64,345351,135088
-9511.562040,-9511.562040,-9511.562040,-9511.111827,-9505.631949,-9391.075653,-9441.408808,0.008400,0.224797,0.350061,0.224802,3.922053,302.778001,300.000000,None,64,381027,129834
-9495.463193,-9495.463193,-9495.463193,-9495.103898,-9490.729618,100000000000000007629769841091887003294964970946560.000000,-9392.257419,0.009528,0.030120,0.139448,0.173178,132.790578,302.386193,300.000000,None,64,337804,133719
-9493.240323,-9493.240323,-9493.240323,-9492.665403,-9488.427382,-9316.689170,-9395.194245,0.003728,0.229120,0.319881,0.229136,91.954553,302.522298,300.000000,None,64,334074,134313
-9504.221247,-9504.221247,-9504.221247,-9503.744065,-9498.043024,-9357.614855,-9412.704950,0.009108,0.210203,0.346809,0.210206,169.319593,302.501310,300.000000,None,64,347851,126235
-9518.455453,-9518.455453,-9518.455453,-9517.947426,-9512.901159,-9363.434451,-9456.530166,0.010317,0.197977,0.357821,0.197987,0.364735,302.380485,300.000000,None,64,364855,118403
-9525.382425,-9525.382425,-9525.382425,-9524.923938,-9520.625393,100000000000000007629769841091887003294964970946560.000000,-9473.123643,0.009420,0.030127,0.155075,0.235571,0.235568,302.740430,300.000000,None,64,339753,111652
-9513.915956,-9513.915956,-9513.915956,-9513.204120,-9508.094334,100000000000000007629769841091887003294964970946560.000000,-9445.406770,0.006097,0.032386,0.186420,0.277516,2.302579,302.651479,300.000000,None,64,343696,118312
