lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
12672.000000,12672.000000,12672.000000,12672.000000,12724.584129,100000000000000007629769841091887003294964970946560.000000,29841.000000,9.806231,10.457511,10.672681,129.958534,129.958720,301.294522,300.000000,New,16,168026,11187
0.000000,12975.716082,12975.716082,13879.414362,13879.414362,100000000000000007629769841091887003294964970946560.000000,26206.583333,2.137745,2.987103,15.694739,20.288026,127.678504,300.502699,300.000000,Farkas,16,220697,10596
0.000000,12212.725813,12212.725813,12948.333737,12948.333737,100000000000000007629769841091887003294964970946560.000000,23053.500000,2.003947,2.618728,13.843017,22.342471,116.823965,300.345479,300.000000,Farkas,16,210273,8374
0.000000,12044.325310,12044.325310,13076.182731,13076.182731,100000000000000007629769841091887003294964970946560.000000,26377.000000,2.052829,3.236801,11.201515,20.792587,20.792770,301.036822,300.000000,Farkas,16,218784,8198
0.000000,12338.334609,12338.334609,14606.754111,14606.754111,100000000000000007629769841091887003294964970946560.000000,28228.750000,2.029318,2.614204,13.647633,25.357369,41.191257,300.175254,300.000000,Farkas,16,254277,10749
0.000000,13132.548917,13132.548917,14735.281186,14735.281186,100000000000000007629769841091887003294964970946560.000000,31336.250000,1.637725,2.258200,15.766037,22.067731,238.886238,300.180353,300.000000,Farkas,16,174447,6860
0.000000,13135.883745,13135.883745,17349.227437,17349.227437,100000000000000007629769841091887003294964970946560.000000,33426.250000,2.210197,3.691225,15.808633,26.456227,26.456239,300.487218,300.000000,Farkas,16,209908,8777
0.000000,12349.951474,12349.859822,13334.952111,13334.985618,100000000000000007629769841091887003294964970946560.000000,26810.500000,1.860598,2.689859,15.647524,79.748047,79.748220,300.193852,300.000000,Farkas,16,233950,9750
0.000000,12264.059501,12264.059501,14095.806349,17155.920660,30105.000000,22198.750000,1.783891,3.166540,5.437278,3.166558,30.518780,301.725846,300.000000,Farkas,16,251276,12076
0.000000,12772.308764,12764.123182,13368.896229,13368.905993,100000000000000007629769841091887003294964970946560.000000,26827.000000,1.681778,2.359182,13.353712,68.900033,68.900254,300.460061,300.000000,Farkas,16,202186,6231
